town,address,land_area,object_num,building_area,n_bed,n_hall,n_bath,price,unitprice,main_area,aux_area,balcony_area,trans_num,year,month,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,percent_aux,percent_balcony,n_story,n_material,n_urb_zoning,d_urban,d_elevator,completion_year,age,d_presale,d_comp,d_manager,d_spec_rel,d_presale_2,d_notreg,d_hotspring,d_leak,d_reno,closest_station,min_dist
冬山鄉,宜蘭縣冬山鄉永興路二段２７３巷７６號,76.08,土地1建物1車位0,138.8,2,2,4,8650000.0,62320.0,118.02,0.0,20.78,,2021,12,18043,14313,10902,5311,0.0,14.97,3.0,rc,,0,0.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,羅東,5311
宜蘭市,宜蘭縣宜蘭市梅洲一路２３巷５號,73.74,土地4建物1車位0,179.96,4,2,5,8800000.0,48900.0,165.33,0.0,14.63,,2021,12,3098,4488,10373,15145,0.0,8.129999999999999,4.0,rc,,0,0.0,2021.0,0.0,0,1,0,0,0,0,0,0,0,四城,3098
宜蘭市,宜蘭縣宜蘭市和睦路１之１２號,134.04,土地1建物1車位0,158.24,0,0,2,15000000.0,94793.0,152.73,5.51,0.0,,2021,12,3831,161,3975,9607,3.4799999999999995,0.0,2.0,enf_brick,res,1,0.0,,,0,1,0,0,0,0,0,0,0,宜蘭,161
員山鄉,宜蘭縣員山鄉復興路４６號,75.78,土地1建物1車位0,130.7,4,2,3,7600000.0,58148.0,130.7,0.0,0.0,,2021,12,7662,5223,7014,11861,0.0,0.0,3.0,enf_brick,res,1,0.0,1981.0,40.0,0,1,0,0,0,0,0,0,0,宜蘭,5223
宜蘭市,宜蘭縣宜蘭市中山路一段２４５巷５３號,136.04,土地4建物1車位0,252.58,3,2,4,11800000.0,46718.0,219.1,33.48,0.0,,2021,12,8082,3826,416,6048,13.26,0.0,3.0,rc,res,1,0.0,2006.0,15.0,0,1,0,0,0,0,0,0,0,縣政中心,416
員山鄉,宜蘭縣員山鄉惠民路２４５巷３號,97.51,土地2建物1車位0,196.89,3,3,3,11000000.0,55869.0,189.86,7.03,0.0,397.0,2021,12,9481,5605,5295,9385,3.5700000000000003,0.0,4.0,rc,,0,1.0,2018.0,3.0,0,1,0,0,0,0,0,0,0,縣政中心,5295
冬山鄉,宜蘭縣冬山鄉武罕五路１５０巷２２弄２３號,115.91,土地9建物1車位0,202.67,4,2,5,9350000.0,46134.0,192.95,0.0,9.72,,2021,12,16414,14144,9978,3665,0.0,4.8,3.0,rc,,0,0.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,羅東,3665
冬山鄉,宜蘭縣冬山鄉武罕五路２０１巷７號,143.74,土地4建物1車位0,195.45,4,2,5,10500000.0,53722.0,177.08,7.58,10.79,,2021,12,16488,14218,10052,3518,3.88,5.52,3.0,rc,,0,0.0,2013.0,8.0,0,1,0,0,0,0,0,0,0,羅東,3518
宜蘭市,宜蘭縣宜蘭市縣政二街１０８巷１３號,119.53,土地1建物1車位0,214.32,4,1,3,14000000.0,65323.0,191.48,0.0,22.84,,2021,12,8620,3795,758,6135,0.0,10.66,3.0,rc,res,1,0.0,2005.0,16.0,0,1,0,1,0,0,0,0,0,縣政中心,758
宜蘭市,宜蘭縣宜蘭市建業路９２巷３６弄１號,131.98,土地2建物1車位0,248.9,5,2,5,16900000.0,67899.0,233.04,0.0,15.86,405.0,2021,12,9951,4471,2374,7813,0.0,6.370000000000001,3.0,rc,res,1,0.0,2014.0,7.0,0,1,0,0,0,0,0,0,0,縣政中心,2374
宜蘭市,宜蘭縣宜蘭市女中路三段２２６巷６號,117.73,土地3建物1車位0,279.34,5,2,6,20000000.0,71597.0,259.6,0.0,19.74,,2021,12,5890,2902,5294,10359,0.0,7.07,4.0,rc,res,1,1.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,宜蘭,2902
宜蘭市,宜蘭縣宜蘭市縣政五街１２８巷２２號,150.1,土地3建物1車位0,232.81,2,2,4,15100000.0,64860.0,210.6,0.0,20.04,,2021,12,8649,4483,1072,6374,0.0,8.61,3.0,rc,res,1,1.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,縣政中心,1072
宜蘭市,宜蘭縣宜蘭市梅洲一路２３巷９弄１９號,76.93,土地6建物1車位0,181.65,4,2,5,9000000.0,49546.0,166.22,0.0,15.43,,2021,12,3098,4488,10373,15145,0.0,8.49,4.0,rc,,0,0.0,2021.0,0.0,0,1,0,0,0,0,0,0,0,四城,3098
羅東鎮,宜蘭縣羅東鎮民有街３１巷１２號,69.0,土地1建物1車位0,87.98,2,2,2,9000000.0,102296.0,87.98,0.0,0.0,,2021,12,13402,9671,6261,1461,0.0,0.0,2.0,enf_brick,res,1,0.0,1975.0,46.0,0,1,0,0,0,0,0,0,0,羅東,1461
宜蘭市,宜蘭縣宜蘭市旋流路１８０號,101.18,土地1建物1車位0,205.86,5,2,4,15800000.0,76751.0,190.85,0.0,15.01,,2021,12,7087,3622,1070,6634,0.0,7.290000000000001,3.0,rc,,0,0.0,2015.0,6.0,0,1,0,0,0,0,0,0,0,縣政中心,1070
壯圍鄉,宜蘭縣壯圍鄉大福路二段２０９巷４２號,166.0,土地1建物1車位0,31.24,0,0,0,2008600.0,64296.0,31.24,0.0,0.0,,2021,12,4419,6285,9053,15609,0.0,0.0,1.0,brick,,0,0.0,,,0,0,0,1,0,0,0,0,0,四城,4419
員山鄉,宜蘭縣員山鄉思源路９２巷３號,203.99,土地2建物1車位0,186.21,3,2,3,10500000.0,56388.0,170.82,0.0,15.39,415.0,2021,12,14449,7846,7120,8166,0.0,8.260000000000002,3.0,rc,,0,0.0,2012.0,9.0,0,1,0,0,0,0,0,0,0,縣政中心,7120
冬山鄉,宜蘭縣冬山鄉永興路一段６９巷６３弄３２號,121.2,土地3建物1車位0,160.46,3,2,3,6200000.0,38639.0,134.24,12.94,13.28,,2021,12,19124,13440,10029,3969,8.06,8.28,3.0,rc,,0,0.0,2006.0,15.0,0,1,0,1,0,0,0,0,0,羅東,3969
蘇澳鎮,宜蘭縣蘇澳鎮頂興路１７６號,69.87,土地1建物1車位0,156.39,4,2,3,7800000.0,49875.0,141.66,0.0,14.73,,2021,12,19632,23584,15037,8763,0.0,9.42,3.0,rc,,0,0.0,2018.0,3.0,0,1,0,1,0,0,0,0,0,羅東,8763
頭城鎮,宜蘭縣頭城鎮大里路８１號,178.05,土地1建物1車位0,116.94,3,2,1,8000000.0,68411.0,116.94,0.0,0.0,,2021,12,12235,15529,20089,25634,0.0,0.0,2.0,brick,res,1,0.0,1968.0,53.0,0,1,0,0,0,0,0,0,0,四城,12235
宜蘭市,宜蘭縣宜蘭市建業路６８巷３６弄１號,167.29,土地2建物1車位0,172.59,4,2,2,11000000.0,63735.0,162.51,0.0,10.08,419.0,2021,12,9951,4471,2374,7812,0.0,5.84,2.0,rc,res,1,0.0,2014.0,7.0,0,1,0,1,0,0,0,0,0,縣政中心,2374
