town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,lat,lng
冬山鄉,宜蘭縣冬山鄉和睦路83號,102.75,住,,,1090408,土地2建物1車位0,三層,鋼筋混凝土造,820201.0,175.5,4,2,3,有,無,6380000.0,36353.0,,RPQNMLLLNHPFFAG18CA,175.5,0.0,0.0,,,2020,4,24.6260416,121.7990349
蘇澳鎮,宜蘭縣蘇澳鎮龍祥二路５巷１９號,74.0,,工業區,丁種建築用地,1090222,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701006.0,86.77,2,2,2,有,無,2500000.0,28812.0,,RPXNMLLLNHPFFAG88CA,86.77,0.0,0.0,,,2020,2,24.6350732,121.8277288
冬山鄉,宜蘭縣冬山鄉武罕二路１３２巷２０號,222.5,,特定農業區,農牧用地,1090413,土地3建物1車位0,三層,鋼筋混凝土造,1080912.0,170.1,4,2,4,有,無,8700000.0,51146.0,,RPSOMLTLNHPFFAG66CA,155.91,0.0,14.19,,,2020,4,24.6585789,121.7941916
冬山鄉,宜蘭縣冬山鄉武罕二路１３２巷４２號,239.69,,特定農業區,甲種建築用地,1090413,土地3建物1車位0,三層,鋼筋混凝土造,1080912.0,171.44,4,2,4,有,無,9100000.0,53080.0,,RPTOMLTLNHPFFAG76CA,159.76,0.0,11.68,,,2020,4,24.6584664,121.7941406
壯圍鄉,宜蘭縣壯圍鄉新福一路３１巷２弄１９號,99.2,,特定農業區,甲種建築用地,1090419,土地5建物1車位0,三層,鋼筋混凝土造,1080313.0,165.48,3,2,3,有,無,6700000.0,40488.0,,RPSOMLMLNHPFFBG68CA,160.44,0.0,5.04,,,2020,4,24.7206844,121.7912159
宜蘭市,宜蘭縣宜蘭市自強新路４１號,80.32,住,,,1090323,土地2建物1車位0,二層,鋼筋混凝土加強磚造,681023.0,110.32,3,2,2,有,無,2500000.0,22661.0,親屬間買賣,RPWNMLPLNHPFFBG86EA,110.32,0.0,0.0,,,2020,3,24.7449603,121.7570764
五結鄉,宜蘭縣五結鄉舊街一路３０巷２１號,79.81,住,,,1090504,土地1建物1車位0,二層,鋼筋混凝土加強磚造,760608.0,56.1,4,1,2,有,無,2500000.0,44563.0,親屬間交易母子,RPRQMLTKNHPFFAG86EA,56.1,0.0,0.0,,,2020,5,24.7081586,121.7682847
宜蘭市,宜蘭縣宜蘭市大福路一段２５７巷１８號,104.0,,鄉村區,乙種建築用地,1090321,土地1建物1車位0,二層,鋼筋混凝土加強磚造,700918.0,124.38,4,2,2,有,無,4000000.0,32160.0,二等親買賣,RPROMLKLNHPFFBG58EA,124.38,0.0,0.0,,,2020,3,24.7640279,121.7636314
宜蘭市,宜蘭縣宜蘭市軍民路11巷16號,66.3,住,,,1090424,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,103.92,5,2,2,有,無,6500000.0,62548.0,含增建或未登記建物。；,RPQPMLLLNHPFFBG48CA,103.92,0.0,0.0,,,2020,4,24.7508776,121.7476636
五結鄉,宜蘭縣五結鄉利成路二段４２號,121.87,,一般農業區,甲種建築用地,1090208,土地2建物1車位0,四層,見其他登記事項,1090113.0,235.36,5,3,6,有,無,12300000.0,52260.0,土地及建物分次登記案件。前案土地登記收件字號：；,RPWNMLPJOHPFFAG09CA,216.52,0.0,18.84,,,2020,2,24.6589397,121.824912
五結鄉,宜蘭縣五結鄉西河一路20巷3號,166.93,住,,,1090427,土地4建物1車位0,三層,見其他登記事項,1070615.0,171.45,4,2,3,有,無,10700000.0,62409.0,,RPRNMLLLNHPFFAG28CA,155.82,0.0,15.63,,,2020,4,24.7031604,121.7674965
五結鄉,宜蘭縣五結鄉中興路三段１７８號,78.49,住,,,1090415,土地1建物1車位0,三層,鋼筋混凝土造,770707.0,174.71,6,2,8,有,無,11080000.0,63419.0,,RPWNMLLLNHPFFAG78CA,159.69,15.02,0.0,,,2020,4,24.6929686,121.7693156
羅東鎮,宜蘭縣羅東鎮竹林街４０５巷７０號,87.05,,鄉村區,乙種建築用地,1090417,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701223.0,104.62,5,2,6,有,無,8800000.0,84114.0,含增建或未登記建物。；,RPPNMLPLNHPFFAG48CA,104.62,0.0,0.0,,,2020,4,24.6869501,121.7535626
三星鄉,宜蘭縣三星鄉楓林一路165巷36弄28號,150.0,,特定農業區,甲種建築用地,1090501,土地1建物1車位0,一層,磚造,791023.0,85.25,2,1,1,有,無,3390000.0,39765.0,,RPUOMLPLNHPFFAG09CA,85.25,0.0,0.0,,,2020,5,24.6843884,121.6653562
五結鄉,宜蘭縣五結鄉利成路一段３９６巷６４號,97.02,,一般農業區,甲種建築用地,1090414,土地1建物1車位0,二層,鋼筋混凝土加強磚造,730425.0,136.02,5,2,2,有,無,4100000.0,30143.0,含增建或未登記建物。；權利人共二人,RPPNMLNLNHPFFAG28CA,136.02,0.0,0.0,,,2020,4,24.6573638,121.8270719
冬山鄉,宜蘭縣冬山鄉永清路６９號,69.82,住,,,1090418,土地1建物1車位0,二層,鋼筋混凝土加強磚造,660601.0,97.02,2,2,2,有,無,5000000.0,51536.0,共有人承買,RPWNMLMLNHPFFAG88CA,97.02,0.0,0.0,,,2020,4,24.664522,121.7718656
蘇澳鎮,宜蘭縣蘇澳鎮民昌街２１巷１０號,77.53,住,,,1090423,土地1建物1車位0,二層,鋼筋混凝土加強磚造,700324.0,84.2,0,0,2,有,無,2600000.0,30879.0,含增建或未登記建物。；,RPROMLLJOHPFFAG28CA,84.2,0.0,0.0,,,2020,4,24.5924911,121.841594
五結鄉,宜蘭縣五結鄉利成路一段３４６巷３２號,84.31,,一般農業區,甲種建築用地,1090503,土地1建物1車位0,二層,加強磚造,700312.0,115.77,0,0,2,有,無,2500000.0,21595.0,,RPSOMLLJOHPFFAG38CA,115.77,0.0,0.0,,,2020,5,24.6559682,121.8266692
冬山鄉,宜蘭縣冬山鄉清溝路２４２號,138.96,農,,,1080906,土地7建物1車位0,三層,見其他登記事項,1090106.0,179.12,5,2,4,有,無,13690000.0,76429.0,,RPVOMLLKOHPFFAG78CA,163.45,0.0,15.67,,,2019,9,24.6594043,121.7607516
宜蘭市,宜蘭縣宜蘭市大福路一段11巷35號,96.0,,鄉村區,乙種建築用地,1090418,土地2建物1車位0,二層,鋼筋混凝土加強磚造,720307.0,124.8,4,2,2,有,無,5300000.0,42468.0,含增建或未登記建物。；,RPWPMLLLNHPFFBG56DA,124.8,0.0,0.0,,,2020,4,24.766672,121.772102
羅東鎮,宜蘭縣羅東鎮四維路１５３巷９號,75.35,,特定農業區,甲種建築用地,1090414,土地1建物1車位0,二層,鋼筋混凝土加強磚造,731022.0,102.12,3,2,2,有,無,7100000.0,69526.0,本案建物另有增建,RPXNMLQLNHPFFAG96EA,102.12,0.0,0.0,,,2020,4,24.6863648,121.7528683
宜蘭市,宜蘭縣宜蘭市健康路三段８５號,65.57,住,,,1090415,土地2建物1車位0,三層,鋼筋混凝土加強磚造,720503.0,175.16,4,3,4,有,無,12000000.0,68509.0,一樓空地及頂樓有增建，陽台外推,RPQOMLPJOHPFFBG68CA,175.16,0.0,0.0,,,2020,4,24.7531994,121.7492127
員山鄉,宜蘭縣員山鄉永同路二段８１巷５號,87.65,,鄉村區,乙種建築用地,1090416,土地1建物1車位0,二層,鋼筋混凝土加強磚造,690407.0,121.9,3,2,2,有,無,2000000.0,16407.0,親友、員工或其他特殊關係間之交易。；,RPVPMLQLNHPFFBG86CA,121.9,0.0,0.0,,,2020,4,24.7619304,121.7231324
礁溪鄉,宜蘭縣礁溪鄉三皇路１１０號,109.15,住,,,1090413,土地2建物1車位0,二層,鋼筋混凝土加強磚造,660923.0,99.88,3,2,2,有,無,6000000.0,60072.0,,RPTNMLPLNHPFFBG98CA,99.88,0.0,0.0,,,2020,4,24.7797472,121.7414853
壯圍鄉,宜蘭縣壯圍鄉壯濱路二段４９巷２３號,109.41,,鄉村區,乙種建築用地,1090418,土地1建物1車位0,三層,鋼筋混凝土造,1090316.0,171.19,4,2,3,有,無,7980000.0,46615.0,,RPORMLSLNHPFFBG56CA,155.51,0.0,15.68,,,2020,4,24.7351426,121.817745
壯圍鄉,宜蘭縣壯圍鄉壯濱路二段４９巷１７號,121.86,,鄉村區,乙種建築用地,1071217,土地1建物1車位0,三層,鋼筋混凝土造,1090316.0,171.19,4,2,3,有,無,8350000.0,48776.0,,RPPRMLSLNHPFFBG66CA,155.51,0.0,15.68,,,2018,12,24.7350029,121.8177989
壯圍鄉,宜蘭縣壯圍鄉壯濱路二段４９巷２９號,113.06,,鄉村區,乙種建築用地,1071212,土地1建物1車位0,三層,鋼筋混凝土造,1090316.0,173.72,4,2,3,有,無,8580000.0,49390.0,,RPQRMLSLNHPFFBG76CA,157.9,0.0,15.82,,,2018,12,24.735211,121.817682
五結鄉,宜蘭縣五結鄉五結中路一段１１１巷２弄３０號,66.89,,特定農業區,甲種建築用地,1090427,土地1建物1車位0,二層,鋼筋混凝土加強磚造,691027.0,84.64,2,3,2,有,無,4300000.0,50803.0,含增建或未登記建物。；,RPUNMLRLNHPFFAG56CA,84.64,0.0,0.0,,,2020,4,24.6770696,121.8003705
冬山鄉,宜蘭縣冬山鄉永美路２１０巷１９號,89.99,,特定農業區,甲種建築用地,1090415,土地2建物1車位0,三層,鋼筋混凝土造,941216.0,142.78,3,2,2,有,無,6700000.0,46925.0,親友、員工或其他特殊關係間之交易。；二親等買賣。,RPTOMLNKOHPFFAG78CA,111.75,10.7,20.33,,,2020,4,24.6532435,121.7765447
宜蘭市,宜蘭縣宜蘭市軍民路９巷４號,63.01,住,,,1090314,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,87.87,5,2,3,有,無,6000000.0,68283.0,含增建或未登記建物。；,RPPNMLTLNHPFFBG98CA,87.87,0.0,0.0,,,2020,3,24.7509932,121.7480149
礁溪鄉,宜蘭縣礁溪鄉玉民路二段２５２巷１０號,86.0,,特定農業區,甲種建築用地,1090427,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701224.0,115.2,5,2,2,有,無,2000000.0,17361.0,二親等買賣、三樓增建,RPROMLPLNHPFFBG09EA,115.2,0.0,0.0,,,2020,4,24.8081257,121.7704526
宜蘭市,宜蘭縣宜蘭市林森路279巷9號,82.38,住,,,1090419,土地1建物1車位0,二層,鋼筋混凝土加強磚造,601224.0,108.0,3,1,1,有,無,4350000.0,40278.0,含增建或未登記建物。由買方負擔土地增值稅238550元。,RPQNMLLMNHPFFBG48DA,108.0,0.0,0.0,,,2020,4,24.759879,121.7616358
