town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,lat,lng
宜蘭市,宜蘭縣宜蘭市農權路三段２７巷７號,131.28,都市：其他:住宅區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1070321.0,289.75,3,2,5,有,無,25000000.0,86281.0,,RPPOMLSKJIHGFBG97DA,265.71,0.0,24.04,有,,2022,11,24.7486474,121.7423305
宜蘭市,宜蘭縣宜蘭市同興街１４６號,36.53,都市：其他:商業區,,,1111101,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,72.23,3,2,3,有,無,3500000.0,48456.0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPPMLLLJIHGFBG47DA,72.23,0.0,0.0,無,,2022,11,24.7639498,121.7541585
員山鄉,宜蘭縣員山鄉大安路９２之２８號,115.66,,特定農業區,甲種建築用地,1111105,土地1建物1車位0,三層,鋼筋混凝土造,860103.0,190.53,5,2,4,有,無,7500000.0,39364.0,壹樓空地；目前屋況有壁癌 滲漏水情形，賣方已由總價中折讓部分價款給買方作為補貼。陽台外推；頂樓加蓋；其他增建；,RPWNMLNLJIHGFBG18DA,176.43,3.97,10.13,無,,2022,11,24.7366205,121.6980019
三星鄉,宜蘭縣三星鄉健富路二段３４６巷８號,89.0,,特定農業區,甲種建築用地,1111102,土地2建物1車位0,三層,鋼筋混凝土造,1110722.0,160.33,4,2,5,有,無,8080000.0,50396.0,,RPUNMLOLJIHGFAG97DA,145.77,0.0,14.56,無,,2022,11,24.6732255,121.6882418
員山鄉,宜蘭縣員山鄉員山路一段３６０號,101.15,都市：其他:住宅區,,,1111115,土地2建物1車位0,三層,鋼筋混凝土造,1110714.0,203.51,2,5,3,有,無,22000000.0,108103.0,其他增建:電梯其他增建；,RPRNMLSLJIHGFBG18DA,189.99,0.0,13.52,有,,2022,11,24.7423648,121.7225951
員山鄉,宜蘭縣員山鄉員山路一段３５８號,81.46,都市：其他:住宅區,,,1111115,土地1建物1車位0,三層,鋼筋混凝土造,1110714.0,181.72,2,5,3,有,無,20000000.0,110059.0,,RPSNMLSLJIHGFBG28DA,166.93,0.0,14.79,無,,2022,11,24.7424054,121.7226075
冬山鄉,宜蘭縣冬山鄉永興路二段７１２號,120.49,,特定農業區,甲種建築用地,1111106,土地3建物1車位0,四層,鋼筋混凝土造,1061023.0,274.94,4,2,5,有,無,17680000.0,64305.0,,RPTQMLOLJIHGFAG18DA,243.8,0.0,31.14,有,,2022,11,24.6671021,121.7495236
羅東鎮,宜蘭縣羅東鎮復興路三段１８９巷８弄１０號,95.31,,鄉村區,乙種建築用地,1111105,土地2建物1車位0,三層,鋼筋混凝土造,1050527.0,203.57,2,2,4,有,無,13300000.0,65334.0,三樓鐵皮增建其他增建；,RPQNMLPLJIHGFAG67DA,189.51,0.0,14.06,無,18.0,2022,11,24.694984,121.7600723
蘇澳鎮,宜蘭縣蘇澳鎮隆恩路２４之４號,122.61,,特定農業區,甲種建築用地,1111101,土地1建物1車位0,三層,鋼筋混凝土造,840128.0,184.29,3,4,4,有,無,5000000.0,27131.0,其他增建：一樓其他增建；,RPOPMLPKJIHGFAG57DA,162.41,21.88,0.0,無,,2022,11,24.6405158,121.8241468
員山鄉,宜蘭縣員山鄉深蓁路１０８巷１８號,146.24,,特定農業區,甲種建築用地,1111109,土地2建物1車位0,四層,鋼筋混凝土造,1110110.0,251.99,4,3,3,有,有,14450000.0,57344.0,,RPUNMLSLJIHGFBG48DA,222.96,0.0,28.55,無,,2022,11,24.721247,121.715255
宜蘭市,宜蘭縣宜蘭市力行路２６巷５號,81.81,都市：其他:住宅區,,,1111117,土地1建物1車位0,二層,鋼筋混凝土造,680611.0,93.16,3,2,2,有,無,4000000.0,42937.0,,RPUOMLRKJIHGFBG38DA,93.16,0.0,0.0,無,,2022,11,24.7626799,121.7594154
宜蘭市,宜蘭縣宜蘭市慈安路７０巷１弄１６號,75.2,都市：其他:住宅區,,,1111105,土地2建物1車位0,二層,鋼筋混凝土加強磚造,670424.0,83.16,0,0,2,有,無,4950000.0,59524.0,一樓後方空地增建其他增建；,RPUNMLQKJIHGFBG18DA,83.16,0.0,0.0,無,35.0,2022,11,24.7596705,121.7645242
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷３３號,83.41,都市：其他:農業區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,170.77,4,2,5,有,無,14360000.0,84090.0,,RPROMLMJKIHGFBG67EA,170.77,0.0,0.0,有,,2022,11,24.8075493,121.7702765
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷３０號,89.85,都市：其他:農業區,,,1111118,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,5,2,4,有,無,16860000.0,84039.0,,RPSOMLMJKIHGFBG77EA,178.15,0.0,22.47,有,,2022,11,24.8075493,121.7702765
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷２７號,89.85,都市：其他:農業區,,,1111122,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,3,2,4,有,無,16850000.0,83990.0,,RPTOMLMJKIHGFBG87EA,178.15,0.0,22.47,有,,2022,11,24.8075493,121.7702765
五結鄉,宜蘭縣五結鄉大吉二路２７７巷１８號,93.5,,一般農業區,甲種建築用地,1111114,土地2建物1車位0,三層,鋼筋混凝土造,1040904.0,173.87,4,2,3,有,無,10700000.0,61540.0,,RPQOMLQJKIHGFAG87EA,158.24,0.0,15.63,無,40.0,2022,11,24.6945141,121.8019299
冬山鄉,宜蘭縣冬山鄉義成路三段１９２巷１號,104.44,都市：其他:住宅區,,,1111102,土地1建物1車位0,二層,鋼筋混凝土加強磚造,670729.0,108.42,4,2,3,有,無,5500000.0,50729.0,其他增建：一樓空地頂樓加蓋；其他增建；,RPPOMLPJKIHGFAG57DA,108.42,0.0,0.0,無,,2022,11,24.6595503,121.7658619
三星鄉,宜蘭縣三星鄉集慶三路４６號,88.99,都市：其他:住宅區,,,1111110,土地1建物1車位0,二層,鐵筋加強磚造,701007.0,99.51,4,1,2,有,無,3560000.0,35775.0,增建部分:1樓、頂樓其他增建；,RPSNMLRJKIHGFAG97DA,99.51,0.0,0.0,無,,2022,11,24.6744894,121.662532
宜蘭市,宜蘭縣宜蘭市縣政一街１０７號,138.0,都市：其他:住宅區(住一),,,1111114,土地1建物1車位0,三層,鋼筋混凝土造,1110218.0,198.32,3,2,3,有,無,25800000.0,130093.0,,RPQOMLPKJIHGFBG77DA,171.27,0.0,27.05,無,,2022,11,24.727963,121.765933
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷２１號,89.85,都市：其他:農業區,,,1111101,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,4,2,5,有,無,15480000.0,77161.0,,RPUOMLMJKIHGFBG97EA,178.15,0.0,22.47,有,,2022,11,24.8075493,121.7702765
宜蘭市,宜蘭縣宜蘭市新民路４１號,65.26,,,,1111001,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,120.58,3,2,2,有,無,11600000.0,96202.0,,RPTNMLRKIIHGFBG08DA,120.58,0.0,0.0,無,,2022,10,24.7565648,121.7571328
壯圍鄉,宜蘭縣壯圍鄉中興六路１１８巷２弄１號,203.57,,特定農業區,甲種建築用地,1111001,土地6建物1車位0,三層,鋼筋混凝土造,1050525.0,238.28,4,2,4,有,無,10000000.0,41967.0,,RPTOMLSKIIHGFBG38EA,222.86,0.0,15.42,無,51.0,2022,10,24.7262732,121.7796597
冬山鄉,宜蘭縣冬山鄉香和路３２號,53.56,都市：其他:住宅區,,,1111014,土地4建物1車位0,四層,鋼筋混凝土造,1040904.0,101.34,4,2,5,有,無,4500000.0,44405.0,,RPUNMLKLIIHGFAG57EA,88.66,0.0,12.68,無,55.0,2022,10,24.629787,121.7959019
羅東鎮,宜蘭縣羅東鎮北投街１５０巷８號,70.07,,特定農業區,甲種建築用地,1111004,土地1建物1車位0,四層,鋼筋混凝土造,871009.0,185.34,4,3,3,有,無,9400000.0,50718.0,其他增建：防火巷其他增建；,RPOOMLSKIIHGFAG67DA,157.04,28.3,0.0,無,,2022,10,24.6736205,121.7503883
三星鄉,宜蘭縣三星鄉大埔中路２０２號,92.96,,特定農業區,甲種建築用地,1111005,土地1建物1車位0,二層,鐵筋加強磚造,700120.0,96.72,3,2,2,有,無,4500000.0,46526.0,,RPTNMLKLIIHGFAG37DA,96.72,0.0,0.0,無,,2022,10,24.6656856,121.7095444
羅東鎮,宜蘭縣羅東鎮復興路二段２６１巷１１弄２６號,77.07,,鄉村區,乙種建築用地,1111006,土地2建物1車位0,二層,鋼筋混凝土加強磚造,640528.0,95.84,5,2,2,有,無,4600000.0,47997.0,其他增建：一樓空地、二樓後方、三樓鐵皮屋親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTNMLLLIIHGFAG47DA,95.84,0.0,0.0,無,56.0,2022,10,24.6898517,121.7637632
宜蘭市,宜蘭縣宜蘭市校舍路１３５號,111.4,都市：其他:生物醫學產業特定專用區(二),,,1111001,土地3建物1車位0,四層,鋼筋混凝土造,1050308.0,282.99,5,2,7,有,無,35000000.0,123679.0,,RPXNMLRJIIHGFBG38DA,262.16,0.0,20.83,有,57.0,2022,10,24.7506159,121.7597357
頭城鎮,宜蘭縣頭城鎮三和路６００巷８６號,454.81,,特定農業區,甲種建築用地,1111007,土地2建物1車位0,一層,土造,,31.6,0,0,0,無,無,9500000.0,300633.0,,RPOOMLPLIIHGFBG67EA,31.6,0.0,0.0,無,59.0,2022,10,24.8312035,121.8000005
冬山鄉,宜蘭縣冬山鄉幸福二路１９５巷１７號,71.61,,特定農業區,甲種建築用地,1111003,土地1建物1車位0,四層,鋼筋混凝土造,850311.0,176.51,4,2,3,有,無,5400000.0,30593.0,1-3樓空地增建約6坪其他增建；,RPUPMLRJIIHGFAG18DA,144.58,16.93,0.0,無,,2022,10,24.6551829,121.7845229
員山鄉,宜蘭縣員山鄉興農路７１巷９號,102.52,都市：其他:住宅區,,,1111005,土地2建物1車位0,四層,鋼筋混凝土造,1060426.0,254.97,4,2,6,有,有,16850000.0,66086.0,2.3樓天井增建更衣室、4樓天井增建浴室其他增建；,RPQNMLQLIIHGFBG77DA,232.15,1.25,21.57,有,71.0,2022,10,24.7461464,121.7247089
壯圍鄉,宜蘭縣壯圍鄉壯濱路六段２９２巷１弄１０號,36.95,,鄉村區,乙種建築用地,1111020,土地2建物1車位0,三層,鋼筋混凝土造,830119.0,38.03,3,2,2,有,無,500000.0,13148.0,,RPXOMLSLIIHGFBG78DA,32.96,2.0,3.07,無,,2022,10,24.8032471,121.817405
礁溪鄉,宜蘭縣礁溪鄉大塭路８之１０號,91.01,,一般農業區,甲種建築用地,1111008,土地2建物1車位0,三層,鋼筋混凝土造,861205.0,166.44,4,2,3,有,無,7000000.0,42057.0,其他增建；,RPOOMLKLIIHGFBG07DA,145.05,0.0,21.39,無,,2022,10,24.817678,121.8078636
宜蘭市,宜蘭縣宜蘭市延平路５６巷５２號,126.94,都市：其他:道路用地,,,1111001,土地2建物1車位0,三層,鋼筋混凝土造,1051223.0,228.76,4,2,5,有,無,17000000.0,74314.0,,RPPPMLSLIIHGFBG08DA,213.84,0.0,14.92,有,,2022,10,24.7543845,121.7674728
宜蘭市,宜蘭縣宜蘭市慶和街２３巷８之３號,68.45,都市：其他:住宅區,,,1111004,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,69.35,3,1,1,有,無,2400000.0,34607.0,,RPPNMLMJJIHGFBG17DA,58.82,10.53,0.0,無,,2022,10,24.7611384,121.7525755
員山鄉,宜蘭縣員山鄉枕山路１４２之８號,170.98,,一般農業區,甲種建築用地,1111008,土地2建物1車位0,三層,鋼筋混凝土造,1050912.0,203.91,4,2,5,有,無,16000000.0,78466.0,,RPSOMLLMIIHGFBG67DA,189.45,0.0,14.46,有,,2022,10,24.771727,121.712298
宜蘭市,宜蘭縣宜蘭市嵐峰路一段１９９巷１７弄１２號,86.09,都市：其他:第三種住宅區。,,,1111010,土地1建物1車位0,四層,鋼筋混凝土造,1060728.0,250.32,3,2,4,有,無,17000000.0,67913.0,,RPXOMLNJJIHGFBG18DA,224.28,0.0,26.04,無,,2022,10,24.7415442,121.7510897
宜蘭市,宜蘭縣宜蘭市東港路二段２９２巷６弄２６號,58.72,都市：其他:住宅區,,,1111005,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,90.56,3,1,3,有,無,4500000.0,49691.0,1、2樓有加蓋頂樓加蓋；其他增建；,RPPQMLLMIIHGFBG57DA,90.56,0.0,0.0,無,86.0,2022,10,24.7535758,121.7649088
宜蘭市,宜蘭縣宜蘭市長春路９８號,74.13,都市：其他:住宅區,,,1111005,土地2建物1車位0,二層,鋼筋混凝土加強磚造,570320.0,73.72,4,2,5,有,無,11300000.0,153283.0,增建範圍：防火巷、一樓空地、上下樓層內梯、一樓增建沿著加蓋至三樓。陽台外推；頂樓加蓋；其他增建；,RPWNMLLJJIHGFBG77DA,73.72,0.0,0.0,無,87.0,2022,10,24.7498483,121.74943
頭城鎮,宜蘭縣頭城鎮環鎮東路二段１６１巷９號,117.0,都市：其他:住宅區,,,1111003,土地1建物1車位0,三層,鋼筋混凝土造,1030731.0,249.37,5,1,5,有,無,15300000.0,61355.0,,RPQOMLNJJIHGFBG47DA,212.17,22.01,15.19,無,88.0,2022,10,24.8595402,121.8301
羅東鎮,宜蘭縣羅東鎮公正路１８４之６號,86.0,都市：其他:商業區,,,1111027,土地1建物1車位0,二層,鋼筋混凝土加強磚造,730704.0,136.53,3,2,2,有,無,8500000.0,62257.0,,RPXNMLSLIIHGFAG58DA,124.28,0.0,12.25,無,,2022,10,24.6791177,121.7684044
冬山鄉,宜蘭縣冬山鄉美和路二段４６７號,67.21,都市：其他:住宅區,,,1111025,土地3建物1車位0,二層,鋼筋混凝土加強磚造,641202.0,81.99,6,2,3,有,無,3700000.0,45127.0,,RPOOMLQLIIHGFAG57DA,81.99,0.0,0.0,無,91.0,2022,10,24.6652016,121.7702715
冬山鄉,宜蘭縣冬山鄉光明路１１８巷１７號,149.43,都市：其他:住宅區,,,1111011,土地4建物1車位0,四層,鋼骨鋼筋混凝土造,1090806.0,255.25,5,2,5,有,無,15000000.0,58766.0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLKLIIHGFAG96DA,227.27,0.0,27.98,有,93.0,2022,10,24.6670123,121.7640452
羅東鎮,宜蘭縣羅東鎮樂群街２７號,68.0,都市：其他:住宅區,,,1111014,土地1建物1車位0,二層,鋼筋混凝土加強磚造,620308.0,94.32,7,2,3,有,無,9000000.0,95420.0,其他增建：一樓空地頂樓加蓋；其他增建；,RPXNMLNJJIHGFAG97DA,94.32,0.0,0.0,無,94.0,2022,10,24.6743697,121.759806
宜蘭市,宜蘭縣宜蘭市復興路二段１１２巷１１號,143.74,都市：其他:住宅區,,,1111002,土地7建物1車位0,四層,鋼筋混凝土造,1020521.0,214.99,4,2,5,有,有,17500000.0,81399.0,一樓後方增建採光罩其他增建；,RPVNMLKLIIHGFBG67DA,209.98,0.0,5.01,無,97.0,2022,10,24.7493967,121.7469829
壯圍鄉,宜蘭縣壯圍鄉壯濱路一段８０號,94.02,,一般農業區,甲種建築用地,1111014,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701230.0,122.46,3,2,2,有,無,4750000.0,38788.0,壹樓空地目前無滲漏水情形，賣方已折讓價金給買方，簽約日起賣方即不負瑕疵保責任陽台外推；頂樓加蓋；其他增建；,RPRNMLOJJIHGFBG57DA,122.46,0.0,0.0,無,98.0,2022,10,24.7255141,121.8211288
冬山鄉,宜蘭縣冬山鄉三英路１１０巷５０號,140.52,,特定農業區,甲種建築用地,1111011,土地2建物1車位0,三層,鋼筋混凝土造,821007.0,169.24,3,1,3,有,無,3500000.0,20681.0,,RPVNMLNJJIHGFAG77DA,134.53,29.44,5.27,無,,2022,10,24.645617,121.81179
員山鄉,宜蘭縣員山鄉茄苳路７０之９號,118.94,,特定農業區,甲種建築用地,1111013,土地1建物1車位0,二層,鋼筋混凝土加強磚造,660822.0,105.9,0,0,0,無,無,3000000.0,28329.0,兄弟間買賣案件親友、員工、共有人或其他特殊關係間之交易；,RPPOMLRJJIHGFBG87EA,105.9,0.0,0.0,無,,2022,10,24.7466318,121.7063272
三星鄉,宜蘭縣三星鄉上將路一段３３巷３８弄３１號,126.04,,特定農業區,甲種建築用地,1111013,土地5建物1車位0,三層,鋼筋混凝土造,1110805.0,168.11,3,3,4,有,無,8900000.0,52942.0,,RPTPMLLJJIHGFAG57DA,151.13,0.0,16.98,無,,2022,10,24.7023968,121.7500388
三星鄉,宜蘭縣三星鄉大德路二段６３６巷２號,185.0,,特定農業區,甲種建築用地,1111013,土地2建物1車位0,三層,鋼筋混凝土造,1040115.0,294.19,5,2,5,有,無,13180000.0,44801.0,,RPRNMLRJJIHGFAG77DA,275.17,0.0,19.02,無,100.0,2022,10,24.6893914,121.7004582
宜蘭市,宜蘭縣宜蘭市北津路１２之２號,92.66,都市：其他:住宅區,,,1111025,土地3建物1車位0,二層,加強磚造,660429.0,133.0,0,0,0,無,無,4700000.0,35338.0,,RPTNMLOJJIHGFBG77DA,133.0,0.0,0.0,無,,2022,10,24.7679227,121.7554543
員山鄉,宜蘭縣員山鄉慈惠路７號,123.03,都市：其他:住宅區,,,1111019,土地1建物1車位0,三層,鋼筋混凝土造,840707.0,254.14,3,2,3,有,無,7800000.0,30692.0,,RPPNMLTJJIHGFBG87DA,241.26,12.88,0.0,無,,2022,10,24.7460058,121.7288409
冬山鄉,宜蘭縣冬山鄉照安路１６２號,78.27,都市：其他:住宅區,,,1111025,土地1建物1車位0,三層,鋼筋混凝土造,1020716.0,146.34,3,2,5,有,無,7800000.0,53301.0,,RPQNMLRJJIHGFAG67DA,128.52,0.0,17.82,無,104.0,2022,10,24.6276535,121.7939342
員山鄉,宜蘭縣員山鄉永同路三段２１３號,92.81,都市：其他:農業區,,,1111026,土地1建物2車位0,三層,鋼筋混凝土造,970205.0,247.57,4,1,6,有,無,12600000.0,50895.0,,RPROMLLJJIHGFBG37DA,182.88,24.53,15.94,無,110.0,2022,10,24.7524287,121.7133021
員山鄉,宜蘭縣員山鄉金泰路３４８巷１弄６號,98.05,都市：其他:住宅區,,,1111006,土地1建物1車位0,四層,鋼筋混凝土造,801003.0,192.83,4,2,3,有,無,8000000.0,41487.0,,RPUNMLLKJIHGFBG67DA,177.75,3.38,11.7,無,,2022,10,24.742989,121.7248621
員山鄉,宜蘭縣員山鄉深蓁路１０８巷１０號,136.39,,特定農業區,甲種建築用地,1111023,土地2建物1車位0,四層,鋼筋混凝土造,1110110.0,264.9,4,3,3,有,有,16100000.0,60778.0,,RPUNMLKKJIHGFBG57DA,236.14,0.0,28.28,有,,2022,10,24.721247,121.715255
蘇澳鎮,宜蘭縣蘇澳鎮聖賢路２４２號,81.7,都市：其他:住宅區,,,1111012,土地1建物1車位0,三層,鋼筋混凝土造,830914.0,172.93,2,2,3,有,無,4600000.0,26600.0,,RPTOMLNJJIHGFAG67DA,156.38,6.73,9.82,無,118.0,2022,10,24.5963178,121.8323598
蘇澳鎮,宜蘭縣蘇澳鎮福安街１７之１號,121.5,都市：其他:住宅區,,,1111010,土地2建物1車位0,二層,鋼筋混凝土加強磚造,790725.0,127.96,4,2,2,有,無,5100000.0,39856.0,其他增建：一樓及二樓後方頂樓加蓋；其他增建；,RPOQMLTJJIHGFAG97DA,119.0,8.96,0.0,無,,2022,10,24.595396,121.8328863
冬山鄉,宜蘭縣冬山鄉水源路２０巷１１號,97.85,,特定農業區,甲種建築用地,1111017,土地3建物1車位0,三層,鋼筋混凝土造,1020930.0,182.04,4,3,4,有,無,10500000.0,57680.0,天井、1樓後方空地其他增建；,RPUOMLOKJIHGFAG97DA,174.89,0.0,7.15,無,119.0,2022,10,24.6703327,121.7520597
宜蘭市,宜蘭縣宜蘭市水源路１巷３號,98.0,,特定農業區,甲種建築用地,1111016,土地1建物1車位0,三層,鋼筋混凝土造,830414.0,188.16,5,2,3,有,無,6200000.0,32951.0,其他增建:一樓空地其他增建；,RPQNMLPKJIHGFBG67DA,164.81,11.99,11.36,無,,2022,10,24.7723904,121.7395585
宜蘭市,宜蘭縣宜蘭市進士路二段１５１巷８１弄６號,211.61,都市：其他:農業區,,,1111016,土地4建物1車位0,三層,鋼筋混凝土造,1080909.0,269.8,4,2,4,有,無,18800000.0,69681.0,,RPWOMLOKJIHGFBG28DA,243.27,0.0,26.53,無,,2022,10,24.7378094,121.7430032
蘇澳鎮,宜蘭縣蘇澳鎮龍祥二路６巷９號,64.9,,工業區,丁種建築用地,1111024,土地1建物1車位0,三層,鋼筋混凝土造,1090914.0,152.86,4,2,3,有,無,8088000.0,52911.0,,RPQOMLOKJIHGFAG57DA,138.03,0.0,14.83,無,124.0,2022,10,24.634621,121.826618
三星鄉,宜蘭縣三星鄉富貴二路３０１巷５３弄１９號,85.14,,特定農業區,甲種建築用地,1111029,土地3建物1車位0,三層,鋼筋混凝土造,1080416.0,119.0,3,1,3,有,無,7700000.0,64706.0,其他增建：遮雨棚等。其他增建；,RPRPMLTJJIHGFAG18DA,111.78,0.0,7.22,無,125.0,2022,10,24.679677,121.684509
羅東鎮,宜蘭縣羅東鎮羅莊北街６號,104.97,,鄉村區,乙種建築用地,1111004,土地1建物1車位0,四層,鋼筋混凝土造,821206.0,224.68,4,3,3,有,無,12000000.0,53409.0,,RPOOMLLKIIHGFAG96DA,189.55,35.13,0.0,無,,2022,10,24.6713975,121.781637
蘇澳鎮,宜蘭縣蘇澳鎮隆恩路８４之２號,124.66,,特定農業區,甲種建築用地,1111022,土地2建物1車位0,二層,鋼筋混凝土加強磚造,821220.0,137.1,4,2,2,有,無,5500000.0,40117.0,其他增建：一樓空地其他增建；,RPTNMLQKJIHGFAG97DA,115.82,14.96,6.32,無,,2022,10,24.6541426,121.8178202
壯圍鄉,宜蘭縣壯圍鄉縣民大道一段６３號,243.56,,特定農業區,農牧用地,1111022,土地3建物1車位0,三層,鋼筋混凝土造,1050607.0,182.57,3,2,4,有,無,14800000.0,81065.0,增建範圍：一樓空地。其他增建；,RPWOMLOJJIHGFBG18DA,177.58,0.0,4.99,無,126.0,2022,10,24.739061,121.7922826
壯圍鄉,宜蘭縣壯圍鄉古結路３０６號,108.0,,特定農業區,甲種建築用地,1111008,土地1建物1車位0,三層,鋼筋混凝土造,810914.0,164.01,4,2,3,有,無,6680000.0,40729.0,增建範圍：二樓前區增建當室內使用。其他增建；,RPVNMLNJJIHGFBG87DA,144.9,9.2,9.91,無,127.0,2022,10,24.7316756,121.7957694
礁溪鄉,宜蘭縣礁溪鄉十六結路４８之２６號,75.0,,特定農業區,甲種建築用地,1111026,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701231.0,121.9,4,1,1,有,無,5200000.0,42658.0,賣買雙方為母子關係親友、員工、共有人或其他特殊關係間之交易；,RPWNMLQKJIHGFBG38DA,121.9,0.0,0.0,無,,2022,10,24.8175512,121.7572247
蘇澳鎮,宜蘭縣蘇澳鎮福德路４６２巷３７號,81.35,,鄉村區,乙種建築用地,1111024,土地1建物1車位0,二層,鋼筋混凝土加強磚造,690512.0,102.08,2,2,2,有,無,710330.0,6959.0,親友、員工、共有人或其他特殊關係間之交易；,RPUOMLRKJIHGFAG38EA,102.08,0.0,0.0,無,,2022,10,24.6481428,121.8295428
宜蘭市,宜蘭縣宜蘭市延平路５６巷２之１號,83.34,都市：其他:住宅區,,,1111003,土地1建物1車位0,二層,鋼筋混凝土加強磚造,760126.0,112.46,1,3,2,有,無,3300000.0,29344.0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLSKJIHGFBG08DA,112.46,0.0,0.0,無,,2022,10,24.7554468,121.7676278
頭城鎮,宜蘭縣頭城鎮頭濱路一段４９１號,148.1,,鄉村區,乙種建築用地,1111012,土地2建物1車位0,二層,鋼筋混凝土加強磚造,680115.0,187.06,4,2,2,有,無,3890000.0,20795.0,增建範圍：防火巷、一樓空地、騎樓。陽台外推；其他增建；,RPSOMLRLIIHGFBG18DA,187.06,0.0,0.0,無,,2022,10,24.8218498,121.8201431
員山鄉,宜蘭縣員山鄉枕山路１４２之１７號,181.96,,一般農業區,甲種建築用地,1111012,土地3建物1車位0,三層,鋼筋混凝土造,1041021.0,203.91,4,2,5,有,無,16200000.0,79447.0,,RPWOMLPLIIHGFBG38DA,189.45,0.0,14.46,有,,2022,10,24.771727,121.712298
冬山鄉,宜蘭縣冬山鄉永清路１８０巷２１號,102.25,都市：其他:住宅區,,,1111007,土地2建物1車位0,三層,鋼筋混凝土造,950901.0,199.38,4,2,4,有,無,10900000.0,54669.0,,RPWOMLRKJIHGFAG48DA,157.38,18.84,23.16,無,,2022,10,24.6650393,121.7685474
羅東鎮,宜蘭縣羅東鎮仁愛新村７１號,134.53,,特定農業區,甲種建築用地,1111008,土地1建物1車位0,二層,鋼筋混凝土加強磚造,720621.0,102.5,3,2,2,有,無,10500000.0,102439.0,其他增建；,RPSNMLRKJIHGFAG97DA,102.5,0.0,0.0,無,136.0,2022,10,24.695072,121.760864
頭城鎮,宜蘭縣頭城鎮青雲路二段２６７巷６７號,310.62,,特定農業區,農牧用地,1111018,土地5建物1車位0,四層,鋼筋混凝土造,1080221.0,344.86,12,1,13,有,無,16000000.0,46396.0,,RPSPMLRKJIHGFBG28DA,303.38,0.0,40.9,無,139.0,2022,10,24.845051,121.8064244
宜蘭市,宜蘭縣宜蘭市大福路一段２２７巷３弄２８號,67.0,,鄉村區,乙種建築用地,1111021,土地1建物1車位0,二層,鋼筋混凝土加強磚造,690707.0,88.4,3,2,2,有,無,6780000.0,76697.0,頂樓增建、一樓後方空地增建、防火巷外推其他增建；,RPQOMLRJJIHGFBG87DA,88.4,0.0,0.0,無,145.0,2022,10,24.7643043,121.7650398
冬山鄉,宜蘭縣冬山鄉鹿安路４０３巷１號,83.18,都市：其他:住宅區,,,1111013,土地2建物1車位0,四層,鋼筋混凝土造,1100927.0,177.98,3,2,4,有,無,13200000.0,74166.0,,RPPOMLQKJIHGFAG67DA,167.04,0.0,10.94,無,,2022,10,24.6608303,121.7632131
三星鄉,宜蘭縣三星鄉萬富五路１６８巷２１弄１６號,190.82,,特定農業區,甲種建築用地,1111014,土地3建物1車位0,三層,鋼筋混凝土造,1051026.0,287.96,4,2,6,有,無,16450000.0,57126.0,一樓及三樓雨遮增建。其他增建；,RPUOMLPKJIHGFAG08DA,264.73,0.0,23.23,無,,2022,10,24.68199,121.6905
三星鄉,宜蘭縣三星鄉上將路一段３３巷３６號,83.68,,特定農業區,甲種建築用地,1111013,土地5建物1車位0,三層,鋼筋混凝土造,1110805.0,171.93,4,2,4,有,無,8650000.0,50311.0,,RPSNMLSKJIHGFAG08DA,161.91,0.0,10.02,無,,2022,10,24.7023968,121.7500388
三星鄉,宜蘭縣三星鄉安農北路五段３１巷３號,134.89,,特定農業區,甲種建築用地,1111014,土地3建物1車位0,四層,鋼筋混凝土造,1081017.0,236.17,3,3,5,有,無,13500000.0,57162.0,,RPORMLRJJIHGFAG87DA,204.8,0.0,31.37,有,,2022,10,24.6705503,121.6775022
冬山鄉,宜蘭縣冬山鄉永清路２９７巷４６號,91.28,都市：其他:住宅區,,,1111019,土地1建物1車位0,二層,鋼筋混凝土加強磚造,641004.0,86.59,4,2,2,有,無,5800000.0,66982.0,其他增建 ：一樓空地其他增建；,RPUSMLSKJIHGFAG78DA,86.59,0.0,0.0,無,149.0,2022,10,24.6638293,121.7659181
