town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month
"五結鄉","宜蘭縣五結鄉五結中路二段１４７巷１５號",86.8,"","特定農業區","甲種建築用地",1090715,"土地2建物1車位0","三層","鋼筋混凝土造","1110830",171.27,"4","2","3","有","無",9600000,56052,"預售屋、或土地及建物分件登記案件；","RPXNMLLLJIHGFAG08EA",156.66,0,14.61,"無","",2020,7
"五結鄉","宜蘭縣五結鄉五結中路二段１４７巷１９號",86.58,"","特定農業區","甲種建築用地",1090717,"土地2建物1車位0","三層","鋼筋混凝土造","1110830",196.87,"4","2","3","有","無",9500000,48255,"預售屋、或土地及建物分件登記案件；","RPQOMLLLJIHGFAG47EA",182.26,0,14.61,"無","",2020,7
"五結鄉","宜蘭縣五結鄉五結中路二段１４７巷１０號",98.07,"","特定農業區","甲種建築用地",1090630,"土地2建物1車位0","三層","鋼筋混凝土造","1110830",181.27,"4","2","3","有","無",9480000,52298,"預售屋、或土地及建物分件登記案件；","RPQNMLLJKIHGFAG27EA",165.6,0,15.67,"無","",2020,6
"五結鄉","宜蘭縣五結鄉利成路一段３９８號",145.7,"","鄉村區","乙種建築用地",1110805,"土地1建物1車位0","一層","鋼筋混凝土加強磚造","0731030",70.1,"0","1","1","有","無",5000000,71327,"1.後面增建鐵皮屋其他增建；","RPXNMLMKQHHGFAG58DA",70.1,0,0,"無","",2022,8
"冬山鄉","宜蘭縣冬山鄉冬山路三段３０１巷５１弄１號",89.5,"","特定農業區","甲種建築用地",1110805,"土地3建物1車位0","四層","鋼筋混凝土造","1051207",279.11,"6","2","7","有","無",14800000,53026,"溫泉宅，附設露天湯池2座","RPOPMLPKQHHGFAG28EA",245.09,2.35,25.61,"有","",2022,8
"蘇澳鎮","宜蘭縣蘇澳鎮金湖街２８號",228.22,"都市：其他:住宅區","","",1110809,"土地2建物1車位0","二層","加強磚造","0700727",128.52,"0","0","0","無","無",2700000,21008,"","RPRNMLKKQHHGFAG77DA",128.52,0,0,"無","",2022,8
"五結鄉","宜蘭縣五結鄉孝威二路６５巷６號",101.17,"","特定農業區","甲種建築用地",1110801,"土地4建物1車位0","三層","鋼筋混凝土造","1040416",166.74,"4","2","4","有","有",8600000,51577,"","RPUNMLKKQHHGFAG08DA",153.91,0,12.83,"無","0005",2022,8
"宜蘭市","宜蘭縣宜蘭市七張路４７６巷３２弄１號",113.08,"","特定農業區","甲種建築用地",1110805,"土地4建物1車位0","三層","鋼筋混凝土造","1080514",176.52,"3","2","3","有","無",10800000,61183,"陽台外推；","RPPNMLSKQHHGFBG48DA",158.71,0,17.81,"無","0006",2022,8
"壯圍鄉","宜蘭縣壯圍鄉功勞路９０之２號",90,"","特定農業區","甲種建築用地",1110812,"土地1建物1車位0","三層","鋼筋混凝土造","1030103",180.25,"4","2","4","有","無",10000000,55479,"法定空地有增建。其他增建；","RPPNMLKLQHHGFBG77DA",165.02,0,15.23,"無","0007",2022,8
"五結鄉","宜蘭縣五結鄉傳藝路一段３７９巷２５弄２號",262.29,"","特定農業區","甲種建築用地",1110804,"土地3建物1車位0","三層","鋼筋混凝土造","1041023",307.14,"6","2","8","有","無",20000000,65117,"其他增建；","RPROMLLKQHHGFAG97DA",287.73,0,19.41,"有","0010",2022,8
