town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,place_id,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,dur_to四城,dur_to宜蘭,dur_to縣政中心,dur_to羅東
蘇澳鎮,隘界路２６１號,94.48,住,,,1091105,土地1建物1車位0,四層,鋼筋混凝土造,830705.0,183.18,3,3,3,有,無,4800000.0,26204.0,,RPVNMLPLJIPFFAG88DA,183.18,0.0,0.0,無,,2020,11,Ej5Oby4gMjYxLCBBaWppZSBSZCwgWXVhbnNoYW4gVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2NCIxEi8KFAoSCfVSPrz54mc0ETeRa-trwkGkEIUCKhQKEgn7WBb9AeNnNBHVK72rLcCTug,12848,10820,12705,15887,1346,1238,1191,1746
蘇澳鎮,龍祥二路６巷１０之７號,66.0,,工業區,丁種建築用地,1091104,土地1建物1車位0,三層,鋼筋混凝土造,1081108.0,150.13,4,2,3,有,無,7080000.0,47159.0,,RPWNMLOLJIPFFAG88DA,136.18,0.0,13.95,無,,2020,11,ChIJbWLSDY7oZzQR_lZ-K2CAmY8,24948,22678,15153,9691,1594,1575,1380,1007
壯圍鄉,壯濱路一段８０號,94.02,,一般農業區,甲種建築用地,1091104,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701230.0,122.46,3,2,2,有,無,3700000.0,30214.0,未登記建物；,RPUOMLPLJIPFFBG09EA,122.46,0.0,0.0,無,,2020,11,ChIJ-6rwOo7vZzQRpbMwuIG2kq0,10885,9277,9032,12640,979,1003,807,1245
宜蘭市,農權路４９號,47.79,住,,,1091113,土地1建物1車位0,二層,鋼筋混凝土加強磚造,591029.0,29.2,7,2,6,有,無,4500000.0,154110.0,建築物含有未登記建物：1、2樓增建 土地上有未登記建物移轉持分1/5未登記建物；未登記建物；,RPXOMLPLJIPFFBG76EA,29.2,0.0,0.0,無,,2020,11,ChIJsW0HiufkZzQRYX9ojaMP1-U,4757,920,3079,8711,682,172,433,1164
五結鄉,中興路三段３０２巷９弄１２號,101.34,住,,,1091108,土地3建物1車位0,三層,鋼筋混凝土造,1060908.0,210.9,5,2,5,有,無,11800000.0,55951.0,,RPPNMLQLJIPFFAG48EA,195.72,0.0,15.18,無,,2020,11,ElJOby4gOSwgTGFuZSAzMDIsIFNlY3Rpb24gMywgWmhvbmd4aW5nIFJkLCBXdWppZSBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY4IjASLgoUChIJbQwVW83lZzQRstHWqKAlkGYQCSoUChIJBy-ySM3lZzQRKyXZ-Z80DII,11535,7805,4394,2299,1177,961,485,413
冬山鄉,富農路一段５３１號,43.83,,特定農業區,甲種建築用地,1091110,土地1建物1車位0,二層,加強磚造,720104.0,78.0,2,2,2,有,無,2600000.0,33333.0,跨建部分一併移轉賣方折讓新台幣貳拾萬元正由買方自行處理。含增建或未登記建物。；建商與地主合建案。；包含公共設施保留地之交易。；,RPPNMLRLJIPFFAG48DA,78.0,0.0,0.0,無,,2020,11,ChIJufVruzvmZzQR9N3gLKQFyaM,17416,15147,10981,4945,1380,1362,1066,563
壯圍鄉,永美路二段６１巷２８弄８號,123.99,,特定農業區,甲種建築用地,1091119,土地5建物1車位0,三層,鋼筋混凝土造,1090612.0,190.15,4,2,3,有,無,9080000.0,47752.0,,RPOPMLOLJIPFFBG38DA,172.26,0.0,17.89,無,,2020,11,ChIJuyd1Cbn6ZzQRMvi7cLGEdfU,4041,4993,7762,14318,467,676,813,1260
員山鄉,賢德路二段３４巷５３號,534.83,,鄉村區,乙種建築用地,1091109,土地1建物1車位0,三層,鋼筋混凝土造,820722.0,384.24,5,3,5,有,無,14500000.0,37737.0,10等親以上之買賣親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKMJIPFFBG08DA,364.94,0.0,19.3,無,,2020,11,EklOby4gMzQsIFNlY3Rpb24gMiwgWGlhbmRlIFJkLCBZdWFuc2hhbiBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY0IjASLgoUChIJg-9CAX3kZzQRQdsj2W8e8NAQIioUChIJJx2mtIDkZzQRBpU4VBMjOdI,8329,4949,4639,10027,1101,706,467,1177
蘇澳鎮,志成路４５５巷６弄１１號,96.91,住,,,1091112,土地1建物1車位0,三層,鋼筋混凝土造,840505.0,169.46,3,3,2,有,無,5880000.0,34698.0,未登記建物；,RPPOMLKMJIPFFAG08EA,150.06,12.1,7.28,無,,2020,11,ChIJWy8jaz3gZzQRrAfTE55Su88,13486,9755,6345,5753,1357,1140,665,770
蘇澳鎮,馬賽路３９７巷６９弄１０號,102.11,住,,,1091110,土地4建物1車位0,三層,鋼筋混凝土造,1071106.0,179.83,4,2,2,有,無,7450000.0,41428.0,,RPPNMLMLJIPFFAG97DA,165.51,0.0,14.32,無,,2020,11,ChIJjZK03GDoZzQRBkksTBAemtg,22846,20577,16410,12244,1353,1334,1177,925
