town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,place_id,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,dur_to四城,dur_to宜蘭,dur_to縣政中心,dur_to羅東
宜蘭市,宜蘭縣宜蘭市農權路三段２７巷７號,131.28,都市：其他:住宅區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1070321.0,289.75,3,2,5,有,無,25000000.0,86281.0,,RPPOMLSKJIHGFBG97DA,265.71,0.0,24.04,有,,2022,11,EkROby4gMjcsIFNlY3Rpb24gMywgTm9uZ3F1YW4gUmQsIFlpbGFuIENpdHksIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MCIwEi4KFAoSCcNrfSuV5Gc0EcMBD-IJzlbgEBsqFAoSCc9SBgWV5Gc0ERs2IbeaR1Rg,5793,2177,5140,10205,875,434,654,1370
宜蘭市,宜蘭縣宜蘭市同興街１４６號,36.53,都市：其他:商業區,,,1111101,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,72.23,3,2,3,有,無,3500000.0,48456.0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPPMLLLJIHGFBG47DA,72.23,0.0,0.0,無,,2022,11,ChIJN2Lv-9HkZzQRypxM56IRi_c,2809,1283,7710,12482,438,325,852,1543
員山鄉,宜蘭縣員山鄉大安路９２之２８號,115.66,,特定農業區,甲種建築用地,1111105,土地1建物1車位0,三層,鋼筋混凝土造,860103.0,190.53,5,2,4,有,無,7500000.0,39364.0,壹樓空地；目前屋況有壁癌 滲漏水情形，賣方已由總價中折讓部分價款給買方作為補貼。陽台外推；頂樓加蓋；其他增建；,RPWNMLNLJIHGFBG18DA,176.43,3.97,10.13,無,,2022,11,ChIJAflWaZ_jZzQRiGeuqAV0Mvc,10359,8331,8304,11486,1189,1082,879,1433
三星鄉,宜蘭縣三星鄉健富路二段３４６巷８號,89.0,,特定農業區,甲種建築用地,1111102,土地2建物1車位0,三層,鋼筋混凝土造,1110722.0,160.33,4,2,5,有,無,8080000.0,50396.0,,RPUNMLOLJIHGFAG97DA,145.77,0.0,14.56,無,,2022,11,ChIJ4yeJZBHhZzQR9PyeJmp7ey4,19973,14889,12832,10517,1914,1596,1221,1268
員山鄉,宜蘭縣員山鄉員山路一段３６０號,101.15,都市：其他:住宅區,,,1111115,土地2建物1車位0,三層,鋼筋混凝土造,1110714.0,203.51,2,5,3,有,無,22000000.0,108103.0,其他增建:電梯其他增建；,RPRNMLSLJIHGFBG18DA,189.99,0.0,13.52,有,,2022,11,ChIJF6amq4PkZzQRizePLMUguSM,6814,4107,6240,11088,1009,797,613,1330
員山鄉,宜蘭縣員山鄉員山路一段３５８號,81.46,都市：其他:住宅區,,,1111115,土地1建物1車位0,三層,鋼筋混凝土造,1110714.0,181.72,2,5,3,有,無,20000000.0,110059.0,,RPSNMLSLJIHGFBG28DA,166.93,0.0,14.79,無,,2022,11,ChIJt8qtq4PkZzQRnBluVPit8go,6810,4103,6244,11092,1009,796,613,1331
冬山鄉,宜蘭縣冬山鄉永興路二段７１２號,120.49,,特定農業區,甲種建築用地,1111106,土地3建物1車位0,四層,鋼筋混凝土造,1061023.0,274.94,4,2,5,有,無,17680000.0,64305.0,,RPTQMLOLJIHGFAG18DA,243.8,0.0,31.14,有,,2022,11,EkxOby4gNzEyLCBTZWN0aW9uIDIsIFlvbmd4aW5nIFJkLCBEb25nc2hhbiBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY5IjESLwoUChIJubM_c5PmZzQR-ItA2n6KGfAQyAUqFAoSCYWqJyjz5mc0Eb7d7fvngBB8,16617,12887,9476,3980,1629,1412,936,739
羅東鎮,宜蘭縣羅東鎮復興路三段１８９巷８弄１０號,95.31,,鄉村區,乙種建築用地,1111105,土地2建物1車位0,三層,鋼筋混凝土造,1050527.0,203.57,2,2,4,有,無,13300000.0,65334.0,三樓鐵皮增建其他增建；,RPQNMLPLJIHGFAG67DA,189.51,0.0,14.06,無,18.0,2022,11,ElFOby4gOCwgTGFuZSAxODksIFNlY3Rpb24gMywgRnV4aW5nIFJkLCBMdW9kb25nIFRvd25zaGlwLCBZaWxhbiBDb3VudHksIFRhaXdhbiAyNjUiMBIuChQKEgnRtXcZMuRnNBFnR4wEybM5ZBAIKhQKEglTJgsYMuRnNBEXv2j6jN9u8g,11697,7966,4556,2752,1218,1002,526,532
蘇澳鎮,宜蘭縣蘇澳鎮隆恩路２４之４號,122.61,,特定農業區,甲種建築用地,1111101,土地1建物1車位0,三層,鋼筋混凝土造,840128.0,184.29,3,4,4,有,無,5000000.0,27131.0,其他增建：一樓其他增建；,RPOPMLPKJIHGFAG57DA,162.41,21.88,0.0,無,,2022,11,EjtOby4gMjQsIExvbmdlbiBSZCwgU3UnYW8gVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI3MCIwEi4KFAoSCeVOyUOX6Gc0ETd0-xX1wOSTEBgqFAoSCb2sDw-Y6Gc0EaSx1_qwNPmQ,20576,18307,14141,8678,1589,1570,1274,901
員山鄉,宜蘭縣員山鄉深蓁路１０８巷１８號,146.24,,特定農業區,甲種建築用地,1111109,土地2建物1車位0,四層,鋼筋混凝土造,1110110.0,251.99,4,3,3,有,有,14450000.0,57344.0,,RPUNMLSLJIHGFBG48DA,222.96,0.0,28.55,無,,2022,11,ChIJ2zSDQonjZzQRnuYQZlbRZYY,9668,6596,6286,8677,1292,908,675,1139
宜蘭市,宜蘭縣宜蘭市力行路２６巷５號,81.81,都市：其他:住宅區,,,1111117,土地1建物1車位0,二層,鋼筋混凝土造,680611.0,93.16,3,2,2,有,無,4000000.0,42937.0,,RPUOMLRKJIHGFBG38DA,93.16,0.0,0.0,無,,2022,11,ChIJl2ROU9HkZzQRqC_VlGW-v58,3434,965,6800,11571,447,239,832,1522
宜蘭市,宜蘭縣宜蘭市慈安路７０巷１弄１６號,75.2,都市：其他:住宅區,,,1111105,土地2建物1車位0,二層,鋼筋混凝土加強磚造,670424.0,83.16,0,0,2,有,無,4950000.0,59524.0,一樓後方空地增建其他增建；,RPUNMLQKJIHGFBG18DA,83.16,0.0,0.0,無,35.0,2022,11,ChIJewlHLtbkZzQRPNkhb1ahReY,3920,1061,5744,13059,478,280,591,1173
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷３３號,83.41,都市：其他:農業區,,,1111104,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,170.77,4,2,5,有,無,14360000.0,84090.0,,RPROMLMJKIHGFBG67EA,170.77,0.0,0.0,有,,2022,11,EkdOby4gMzAxLCBTZWN0aW9uIDIsIFl1bWluIFJkLCBKaWFveGkgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MiIxEi8KFAoSCWt8QE7_-mc0ESGszFePkXMiEK0CKhQKEgnJZxnq9vpnNBG1zsc5vMvukA,3035,6672,12281,17835,386,803,975,1442
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷３０號,89.85,都市：其他:農業區,,,1111118,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,5,2,4,有,無,16860000.0,84039.0,,RPSOMLMJKIHGFBG77EA,178.15,0.0,22.47,有,,2022,11,EkdOby4gMzAxLCBTZWN0aW9uIDIsIFl1bWluIFJkLCBKaWFveGkgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MiIxEi8KFAoSCWt8QE7_-mc0ESGszFePkXMiEK0CKhQKEgnJZxnq9vpnNBG1zsc5vMvukA,3035,6672,12281,17835,386,803,975,1442
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷２７號,89.85,都市：其他:農業區,,,1111122,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,3,2,4,有,無,16850000.0,83990.0,,RPTOMLMJKIHGFBG87EA,178.15,0.0,22.47,有,,2022,11,EkdOby4gMzAxLCBTZWN0aW9uIDIsIFl1bWluIFJkLCBKaWFveGkgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MiIxEi8KFAoSCWt8QE7_-mc0ESGszFePkXMiEK0CKhQKEgnJZxnq9vpnNBG1zsc5vMvukA,3035,6672,12281,17835,386,803,975,1442
五結鄉,宜蘭縣五結鄉大吉二路２７７巷１８號,93.5,,一般農業區,甲種建築用地,1111114,土地2建物1車位0,三層,鋼筋混凝土造,1040904.0,173.87,4,2,3,有,無,10700000.0,61540.0,,RPQOMLQJKIHGFAG87EA,158.24,0.0,15.63,無,40.0,2022,11,ChIJYT8W1PLlZzQRGqgDSgG6KcA,12740,10471,6258,5267,1113,1094,696,748
冬山鄉,宜蘭縣冬山鄉義成路三段１９２巷１號,104.44,都市：其他:住宅區,,,1111102,土地1建物1車位0,二層,鋼筋混凝土加強磚造,670729.0,108.42,4,2,3,有,無,5500000.0,50729.0,其他增建：一樓空地頂樓加蓋；其他增建；,RPPOMLPJKIHGFAG57DA,108.42,0.0,0.0,無,,2022,11,ChIJK8Nk7V_mZzQROR_XwaXonGQ,15540,11810,8400,3615,1804,1588,1112,584
三星鄉,宜蘭縣三星鄉集慶三路４６號,88.99,都市：其他:住宅區,,,1111110,土地1建物1車位0,二層,鐵筋加強磚造,701007.0,99.51,4,1,2,有,無,3560000.0,35775.0,增建部分:1樓、頂樓其他增建；,RPSNMLRJKIHGFAG97DA,99.51,0.0,0.0,無,,2022,11,ChIJZ8ft_K3hZzQRxtJgouXZXvo,21829,16746,14689,12373,2044,1726,1351,1398
宜蘭市,宜蘭縣宜蘭市縣政一街１０７號,138.0,都市：其他:住宅區(住一),,,1111114,土地1建物1車位0,三層,鋼筋混凝土造,1110218.0,198.32,3,2,3,有,無,25800000.0,130093.0,,RPQOMLPKJIHGFBG77DA,171.27,0.0,27.05,無,,2022,11,Ej9Oby4gMTA3LCBYaWFuemhlbmcgMXN0IFN0LCBZaWxhbiBDaXR5LCBZaWxhbiBDb3VudHksIFRhaXdhbiAyNjAiMBIuChQKEgn1O_vQAeVnNBHbLmkGUWy4xhBrKhQKEgkpmIHWAeVnNBEANh9lBV4TCQ,8184,3557,518,6493,909,544,132,892
礁溪鄉,宜蘭縣礁溪鄉玉民路二段３０１巷２１號,89.85,都市：其他:農業區,,,1111101,土地1建物1車位0,三層,鋼筋混凝土造,1101108.0,200.62,4,2,5,有,無,15480000.0,77161.0,,RPUOMLMJKIHGFBG97EA,178.15,0.0,22.47,有,,2022,11,EkdOby4gMzAxLCBTZWN0aW9uIDIsIFl1bWluIFJkLCBKaWFveGkgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MiIxEi8KFAoSCWt8QE7_-mc0ESGszFePkXMiEK0CKhQKEgnJZxnq9vpnNBG1zsc5vMvukA,3035,6672,12281,17835,386,803,975,1442
宜蘭市,宜蘭縣宜蘭市新民路４１號,65.26,,,,1111001,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,120.58,3,2,2,有,無,11600000.0,96202.0,,RPTNMLRKIIHGFBG08DA,120.58,0.0,0.0,無,,2022,10,ChIJxQwSW9rkZzQRct4zmbwe_xE,3820,236,4063,9695,541,89,612,1343
壯圍鄉,宜蘭縣壯圍鄉中興六路１１８巷２弄１號,203.57,,特定農業區,甲種建築用地,1111001,土地6建物1車位0,三層,鋼筋混凝土造,1050525.0,238.28,4,2,4,有,無,10000000.0,41967.0,,RPTOMLSKIIHGFBG38EA,222.86,0.0,15.42,無,51.0,2022,10,EkdOby4gMTE4LCBaaG9uZ3hpbmcgNnRoIFJkLCBaaHVhbmd3ZWkgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MyIwEi4KFAoSCceGdy0J5Wc0EZsGcp3r5cULEHYqFAoSCbmReB8G5Wc0ERM0a14zI7ug,8840,5534,1591,8436,785,688,240,885
冬山鄉,宜蘭縣冬山鄉香和路３２號,53.56,都市：其他:住宅區,,,1111014,土地4建物1車位0,四層,鋼筋混凝土造,1040904.0,101.34,4,2,5,有,無,4500000.0,44405.0,,RPUNMLKLIIHGFAG57EA,88.66,0.0,12.68,無,55.0,2022,10,Ej9Oby4gMzIsIFhpYW5naGUgUmQsIERvbmdzaGFuIFRvd25zaGlwLCBZaWxhbiBDb3VudHksIFRhaXdhbiAyNjkiMBIuChQKEgk93sX5zOdnNBFBWA0mk4FWDxAgKhQKEgnPcX_DzednNBEopm_BbQRJxg,20772,18502,14336,6446,1687,1669,1373,816
羅東鎮,宜蘭縣羅東鎮北投街１５０巷８號,70.07,,特定農業區,甲種建築用地,1111004,土地1建物1車位0,四層,鋼筋混凝土造,871009.0,185.34,4,3,3,有,無,9400000.0,50718.0,其他增建：防火巷其他增建；,RPOOMLSKIIHGFAG67DA,157.04,28.3,0.0,無,,2022,10,Ej5Oby4gMTUwLCBCZWl0b3UgU3QsIEx1b2RvbmcgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2NSIxEi8KFAoSCWfVG42Q5mc0ESIRRGYRexI8EJYBKhQKEgnlwhCXmuZnNBE-Iw-f7KdAVA,15504,11774,8363,2841,1480,1263,787,646
三星鄉,宜蘭縣三星鄉大埔中路２０２號,92.96,,特定農業區,甲種建築用地,1111005,土地1建物1車位0,二層,鐵筋加強磚造,700120.0,96.72,3,2,2,有,無,4500000.0,46526.0,,RPTNMLKLIIHGFAG37DA,96.72,0.0,0.0,無,,2022,10,ChIJcbl1ZzDhZzQRNL-iUT63UdY,19625,14168,12485,7447,1846,1567,1154,1140
羅東鎮,宜蘭縣羅東鎮復興路二段２６１巷１１弄２６號,77.07,,鄉村區,乙種建築用地,1111006,土地2建物1車位0,二層,鋼筋混凝土加強磚造,640528.0,95.84,5,2,2,有,無,4600000.0,47997.0,其他增建：一樓空地、二樓後方、三樓鐵皮屋親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPTNMLLLIIHGFAG47DA,95.84,0.0,0.0,無,56.0,2022,10,ChIJ1SdL3SzkZzQRocuPE6QgIts,12237,8507,5096,2053,1283,1067,591,466
宜蘭市,宜蘭縣宜蘭市校舍路１３５號,111.4,都市：其他:生物醫學產業特定專用區(二),,,1111001,土地3建物1車位0,四層,鋼筋混凝土造,1050308.0,282.99,5,2,7,有,無,35000000.0,123679.0,,RPXNMLRJIIHGFBG38DA,262.16,0.0,20.83,有,57.0,2022,10,ChIJQ-wVnN7kZzQR2RueVCsT1cs,4802,965,3820,9494,717,208,472,1195
頭城鎮,宜蘭縣頭城鎮三和路６００巷８６號,454.81,,特定農業區,甲種建築用地,1111007,土地2建物1車位0,一層,土造,,31.6,0,0,0,無,無,9500000.0,300633.0,,RPOOMLPLIIHGFBG67EA,31.6,0.0,0.0,無,59.0,2022,10,ChIJZ1OjxA_6ZzQRSVUBgA2NexU,8490,11175,13943,23008,782,1133,1270,1573
冬山鄉,宜蘭縣冬山鄉幸福二路１９５巷１７號,71.61,,特定農業區,甲種建築用地,1111003,土地1建物1車位0,四層,鋼筋混凝土造,850311.0,176.51,4,2,3,有,無,5400000.0,30593.0,1-3樓空地增建約6坪其他增建；,RPUPMLRJIIHGFAG18DA,144.58,16.93,0.0,無,,2022,10,ChIJ1w0syEHmZzQRnlvlc-6hYKo,17892,12909,9499,3205,1457,1502,1026,433
員山鄉,宜蘭縣員山鄉興農路７１巷９號,102.52,都市：其他:住宅區,,,1111005,土地2建物1車位0,四層,鋼筋混凝土造,1060426.0,254.97,4,2,6,有,有,16850000.0,66086.0,2.3樓天井增建更衣室、4樓天井增建浴室其他增建；,RPQNMLQLIIHGFBG77DA,232.15,1.25,21.57,有,71.0,2022,10,EkBOby4gNzEsIFhpbmdub25nIFJkLCBZdWFuc2hhbiBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY0IjASLgoUChIJazkhopzkZzQRGL2IFiOR-UUQRyoUChIJR0cmmpzkZzQRsJ9Cex2oD2U,7522,3873,6842,11689,936,772,695,1412
壯圍鄉,宜蘭縣壯圍鄉壯濱路六段２９２巷１弄１０號,36.95,,鄉村區,乙種建築用地,1111020,土地2建物1車位0,三層,鋼筋混凝土造,830119.0,38.03,3,2,2,有,無,500000.0,13148.0,,RPXOMLSLIIHGFBG78DA,32.96,2.0,3.07,無,,2022,10,ChIJ-1Y7EYTwZzQR1bnnwOaxScE,7400,9266,12034,18590,784,1067,1205,1654
礁溪鄉,宜蘭縣礁溪鄉大塭路８之１０號,91.01,,一般農業區,甲種建築用地,1111008,土地2建物1車位0,三層,鋼筋混凝土造,861205.0,166.44,4,2,3,有,無,7000000.0,42057.0,其他增建；,RPOOMLKLIIHGFBG07DA,145.05,0.0,21.39,無,,2022,10,ChIJc-spq3X6ZzQREXMQPw9GbVk,7783,10467,13236,20068,692,1043,1180,1642
宜蘭市,宜蘭縣宜蘭市延平路５６巷５２號,126.94,都市：其他:道路用地,,,1111001,土地2建物1車位0,三層,鋼筋混凝土造,1051223.0,228.76,4,2,5,有,無,17000000.0,74314.0,,RPPPMLSLIIHGFBG08DA,213.84,0.0,14.92,有,,2022,10,EkFOby4gNTIsIExhbmUgNTYsIFlhbnBpbmcgUmQsIFlpbGFuIENpdHksIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MCIwEi4KFAoSCXkd2Mkn5Wc0EaMEONaQET8JEDQqFAoSCeFhDM8n5Wc0EeK1iwA-54WT,4531,1618,5155,9926,539,388,579,1270
宜蘭市,宜蘭縣宜蘭市慶和街２３巷８之３號,68.45,都市：其他:住宅區,,,1111004,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,69.35,3,1,1,有,無,2400000.0,34607.0,,RPPNMLMJJIHGFBG17DA,58.82,10.53,0.0,無,,2022,10,ChIJx92_xs_kZzQRPhzG6gxw_X4,3193,1160,4592,10224,523,354,762,1493
員山鄉,宜蘭縣員山鄉枕山路１４２之８號,170.98,,一般農業區,甲種建築用地,1111008,土地2建物1車位0,三層,鋼筋混凝土造,1050912.0,203.91,4,2,5,有,無,16000000.0,78466.0,,RPSOMLLMIIHGFBG67DA,189.45,0.0,14.46,有,,2022,10,ChIJv0wQH1HjZzQRujUN4z-U5J4,6813,5472,10664,15109,852,800,1145,1830
宜蘭市,宜蘭縣宜蘭市嵐峰路一段１９９巷１７弄１２號,86.09,都市：其他:第三種住宅區。,,,1111010,土地1建物1車位0,四層,鋼筋混凝土造,1060728.0,250.32,3,2,4,有,無,17000000.0,67913.0,,RPXOMLNJJIHGFBG18DA,224.28,0.0,26.04,無,,2022,10,Ek1Oby4gMTcsIExhbmUgMTk5LCBTZWN0aW9uIDEsIExhbmZlbmcgUmQsIFlpbGFuIENpdHksIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MCIwEi4KFAoSCbtqOALv5Gc0ESTgrK54oL69EBEqFAoSCXfEwQLv5Gc0EYez9LysOH7F,5912,2074,3071,8704,906,397,422,1153
宜蘭市,宜蘭縣宜蘭市東港路二段２９２巷６弄２６號,58.72,都市：其他:住宅區,,,1111005,土地1建物1車位0,二層,鋼筋混凝土加強磚造,,90.56,3,1,3,有,無,4500000.0,49691.0,1、2樓有加蓋頂樓加蓋；其他增建；,RPPQMLLMIIHGFBG57DA,90.56,0.0,0.0,無,86.0,2022,10,ChIJIZltgdjkZzQRtgqf0Hc3aIc,4959,1231,3974,9709,633,301,566,1283
宜蘭市,宜蘭縣宜蘭市長春路９８號,74.13,都市：其他:住宅區,,,1111005,土地2建物1車位0,二層,鋼筋混凝土加強磚造,570320.0,73.72,4,2,5,有,無,11300000.0,153283.0,增建範圍：防火巷、一樓空地、上下樓層內梯、一樓增建沿著加蓋至三樓。陽台外推；頂樓加蓋；其他增建；,RPWNMLLJJIHGFBG77DA,73.72,0.0,0.0,無,87.0,2022,10,ChIJ45mpDMLkZzQRNFBfowu4SPE,5113,1276,3892,9524,818,309,622,1353
頭城鎮,宜蘭縣頭城鎮環鎮東路二段１６１巷９號,117.0,都市：其他:住宅區,,,1111003,土地1建物1車位0,三層,鋼筋混凝土造,1030731.0,249.37,5,1,5,有,無,15300000.0,61355.0,,RPQOMLNJJIHGFBG47DA,212.17,22.01,15.19,無,88.0,2022,10,ElZOby4gOSwgTGFuZSAxNjEsIFNlY3Rpb24gMiwgSHVhbnpoZW4gRSBSZCwgVG91Y2hlbmcgVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI2MSIwEi4KFAoSCXE_909q92c0EesKYnJEgzthEAkqFAoSCc9JWUVq92c0EaBGoPlg7TLi,14067,15906,18675,26615,1244,1541,1679,1910
羅東鎮,宜蘭縣羅東鎮公正路１８４之６號,86.0,都市：其他:商業區,,,1111027,土地1建物1車位0,二層,鋼筋混凝土加強磚造,730704.0,136.53,3,2,2,有,無,8500000.0,62257.0,,RPXNMLSLIIHGFAG58DA,124.28,0.0,12.25,無,,2022,10,ChIJgefrA3_mZzQRrkPFVGFlWjo,12897,9167,5756,617,1433,1216,740,217
冬山鄉,宜蘭縣冬山鄉美和路二段４６７號,67.21,都市：其他:住宅區,,,1111025,土地3建物1車位0,二層,鋼筋混凝土加強磚造,641202.0,81.99,6,2,3,有,無,3700000.0,45127.0,,RPOOMLQLIIHGFAG57DA,81.99,0.0,0.0,無,91.0,2022,10,ChIJudyj_WPmZzQR17F9YCFW6Wk,17464,11775,8365,2389,1460,1409,933,413
冬山鄉,宜蘭縣冬山鄉光明路１１８巷１７號,149.43,都市：其他:住宅區,,,1111011,土地4建物1車位0,四層,鋼骨鋼筋混凝土造,1090806.0,255.25,5,2,5,有,無,15000000.0,58766.0,親友、員工、共有人或其他特殊關係間之交易；,RPOOMLKLIIHGFAG96DA,227.27,0.0,27.98,有,93.0,2022,10,ChIJSWBg8YnmZzQRxTMXTrS9_cE,15147,11416,8006,2059,1740,1524,1048,544
羅東鎮,宜蘭縣羅東鎮樂群街２７號,68.0,都市：其他:住宅區,,,1111014,土地1建物1車位0,二層,鋼筋混凝土加強磚造,620308.0,94.32,7,2,3,有,無,9000000.0,95420.0,其他增建：一樓空地頂樓加蓋；其他增建；,RPXNMLNJJIHGFAG97DA,94.32,0.0,0.0,無,94.0,2022,10,ChIJdYyBdIbmZzQRTLexukO5thg,14010,10280,6869,1922,1607,1390,914,566
宜蘭市,宜蘭縣宜蘭市復興路二段１１２巷１１號,143.74,都市：其他:住宅區,,,1111002,土地7建物1車位0,四層,鋼筋混凝土造,1020521.0,214.99,4,2,5,有,有,17500000.0,81399.0,一樓後方增建採光罩其他增建；,RPVNMLKLIIHGFBG67DA,209.98,0.0,5.01,無,97.0,2022,10,EkNOby4gMTEyLCBTZWN0aW9uIDIsIEZ1eGluZyBSZCwgWWlsYW4gQ2l0eSwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjYwIjASLgoUChIJS5NyGurkZzQRFSS6fs5ob6sQcCoUChIJX6_eE-rkZzQRTydxoF7Uifg,5550,1543,5008,9590,895,405,683,1385
壯圍鄉,宜蘭縣壯圍鄉壯濱路一段８０號,94.02,,一般農業區,甲種建築用地,1111014,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701230.0,122.46,3,2,2,有,無,4750000.0,38788.0,壹樓空地目前無滲漏水情形，賣方已折讓價金給買方，簽約日起賣方即不負瑕疵保責任陽台外推；頂樓加蓋；其他增建；,RPRNMLOJJIHGFBG57DA,122.46,0.0,0.0,無,98.0,2022,10,ChIJ-6rwOo7vZzQRpbMwuIG2kq0,10885,9277,9032,12640,979,1003,807,1245
冬山鄉,宜蘭縣冬山鄉三英路１１０巷５０號,140.52,,特定農業區,甲種建築用地,1111011,土地2建物1車位0,三層,鋼筋混凝土造,821007.0,169.24,3,1,3,有,無,3500000.0,20681.0,,RPVNMLNJJIHGFAG77DA,134.53,29.44,5.27,無,,2022,10,ChIJv8TUE57oZzQRj-lRoWZc1O0,18525,16255,12089,6627,1436,1417,1121,748
員山鄉,宜蘭縣員山鄉茄苳路７０之９號,118.94,,特定農業區,甲種建築用地,1111013,土地1建物1車位0,二層,鋼筋混凝土加強磚造,660822.0,105.9,0,0,0,無,無,3000000.0,28329.0,兄弟間買賣案件親友、員工、共有人或其他特殊關係間之交易；,RPPOMLRJJIHGFBG87EA,105.9,0.0,0.0,無,,2022,10,Ej9Oby4gNzAsIEppYWRvbmcgUmQsIFl1YW5zaGFuIFRvd25zaGlwLCBZaWxhbiBDb3VudHksIFRhaXdhbiAyNjQiMBIuChQKEgkjsEdYcONnNBHgtI78sybyjhBGKhQKEglf9H9ieuNnNBEkbN8M7hSxCA,8660,6632,8516,11699,1013,906,859,1413
三星鄉,宜蘭縣三星鄉上將路一段３３巷３８弄３１號,126.04,,特定農業區,甲種建築用地,1111013,土地5建物1車位0,三層,鋼筋混凝土造,1110805.0,168.11,3,3,4,有,無,8900000.0,52942.0,,RPTPMLLJJIHGFAG57DA,151.13,0.0,16.98,無,,2022,10,ElVOby4gMzgsIExhbmUgMzMsIFNlY3Rpb24gMSwgU2hhbmdqaWFuZyBSZCwgU2FueGluZyBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY2IjASLgoUChIJjXiGbznkZzQRqUFSoi2rAcgQJioUChIJF0gIYznkZzQROqQCsQBIraU,12162,8431,5021,4429,1193,976,500,605
三星鄉,宜蘭縣三星鄉大德路二段６３６巷２號,185.0,,特定農業區,甲種建築用地,1111013,土地2建物1車位0,三層,鋼筋混凝土造,1040115.0,294.19,5,2,5,有,無,13180000.0,44801.0,,RPRNMLRJJIHGFAG77DA,275.17,0.0,19.02,無,100.0,2022,10,EkAyNjYsIFRhaXdhbiwgWWlsYW4gQ291bnR5LCBTYW54aW5nIFRvd25zaGlwLCDlpKflvrfot68y5q61NjM26JmfIjESLwoUChIJsT9SX1zhZzQRB-5ugKW7MIIQ_AQqFAoSCferhotb4Wc0EUWBcFXYdehH,17958,11880,10629,8235,1651,1320,940,1085
宜蘭市,宜蘭縣宜蘭市北津路１２之２號,92.66,都市：其他:住宅區,,,1111025,土地3建物1車位0,二層,加強磚造,660429.0,133.0,0,0,0,無,無,4700000.0,35338.0,,RPTNMLOJJIHGFBG77DA,133.0,0.0,0.0,無,,2022,10,ChIJb14Q6tLkZzQRN4W0xaScP_M,2365,1758,7266,12037,378,398,792,1483
員山鄉,宜蘭縣員山鄉慈惠路７號,123.03,都市：其他:住宅區,,,1111019,土地1建物1車位0,三層,鋼筋混凝土造,840707.0,254.14,3,2,3,有,無,7800000.0,30692.0,,RPPNMLTJJIHGFBG87DA,241.26,12.88,0.0,無,,2022,10,ChIJMUx4-prkZzQRbKaMb5HB-0I,6099,3392,6078,11466,937,725,607,1318
冬山鄉,宜蘭縣冬山鄉照安路１６２號,78.27,都市：其他:住宅區,,,1111025,土地1建物1車位0,三層,鋼筋混凝土造,1020716.0,146.34,3,2,5,有,無,7800000.0,53301.0,,RPQNMLRJJIHGFAG67DA,128.52,0.0,17.82,無,104.0,2022,10,ChIJhUbBqc7nZzQR3LHqaq3XFF0,20947,18678,14512,6445,1709,1690,1395,827
員山鄉,宜蘭縣員山鄉永同路三段２１３號,92.81,都市：其他:農業區,,,1111026,土地1建物2車位0,三層,鋼筋混凝土造,970205.0,247.57,4,1,6,有,無,12600000.0,50895.0,,RPROMLLJJIHGFBG37DA,182.88,24.53,15.94,無,110.0,2022,10,ChIJC0l4A2TjZzQRQoyWAPz0u-I,7492,5464,8304,12344,846,739,889,1541
