縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
桃園縣,桃園市,中埔六街-同德十街與南平路間,12,臨街地,住宅大樓,鋼筋混凝土造,０８８０７,098年07月,13,3,住宅區,4.14,42.92,523,12.19
桃園縣,桃園市,中埔六街-位於同德十街與南平路之間,12,臨街地,住宅大樓,鋼筋混凝土造,０８８０７,093年04月,14,1,住宅區,4.03,27.01,300,11.11
桃園縣,桃園市,中埔六街-南平路與同德十一街之間,12,臨街地,住宅大樓,鋼筋混凝土造,０９３０７,099年12月,12,4,住宅區,6.89,44.75,682,15.24
桃園縣,桃園市,中埔六街-南平路與同德十街之間,12,臨街地,住宅大樓,鋼筋混凝土造,０８８０７,100年01月,14,6,住宅區,4.36,38.53,540,14.02
桃園縣,桃園市,中埔六街-南平路與同德十街間,12,臨街地,住宅大樓,鋼筋混凝土造,０９３０７,099年01月,12,6,住宅區,4.88,26.93,370,13.74
桃園縣,桃園市,中埔六街-南平路與同德六街之間,12,臨街地,華廈,鋼筋混凝土造,０８７１１,098年10月,8,8,住宅區,8.28,54.15,480,8.86
桃園縣,桃園市,中埔六街-南平路與同德六街間,12,臨街地,住宅大樓,鋼筋混凝土造,０９４１１,097年01月,12,12,住宅區,11.83,57.54,940,16.34
桃園縣,桃園市,中埔六街-南平路與同德六街間,12,臨街地,華廈,鋼筋混凝土造,０９２０１,098年01月,9,3,住宅區,7.13,40.60,520,12.81
桃園縣,桃園市,中埔六街-莊敬路與南平路之間,13,臨街地,住宅大樓,鋼筋混凝土造,０９２０１,092年04月,9,1,住宅區,4.98,59.66,590,9.89
桃園縣,桃園市,中華路-三民路三段與南華街之間,16,袋地,店面(店舖),加強磚造,０４９０５,089年01月,3,全,住宅區,35.39,150.29,1620,10.78
桃園縣,桃園市,中華路-三民路三段與復興路之間,16,臨街地,店面(店舖),加強磚造,０４９０５,089年04月,3,全,住宅區,18.75,69.44,1020,14.69
桃園縣,桃園市,中華路-三民路與南華街之間,20,裡地,透天住宅,加強磚造,０５５１０,095年09月,3,全,商業區,26.32,37.79,550,14.55
桃園縣,桃園市,中華路-中正路與民權路之間,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８６１２,095年01月,17,14,商業區,0.94,8.02,135,16.83
桃園縣,桃園市,中華路-中正路與民權路之間,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８６１２,095年01月,17,12,商業區,0.95,7.76,130,16.75
桃園縣,桃園市,中華路-中正路與民權路之間,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８６１２,095年04月,17,16,商業區,1.00,12.37,210,16.98
桃園縣,桃園市,中華路-中正路與民權路之間,15,臨街地,辦公商業大樓,鋼筋混凝土造,０８６１２,095年04月,17,1,商業區,0.33,3.55,112,31.55
桃園縣,桃園市,中華路-中正路與民權路間,15,臨街地,住宅大樓,鋼筋混凝土造,０８６１２,094年04月,17,13,商業區,0.95,11.49,140,12.18
桃園縣,桃園市,中華路-中華路1至50號,15,臨街地,華廈,鋼筋混凝土造,０７７０８,100年04月,10,1,商業區,20.55,200.65,22800,113.63
桃園縣,桃園市,中華路-中華路1至50號,16,臨街地,住宅大樓,鋼筋混凝土造,０８６１２,101年01月,17,15,商業區,0.89,11.14,136,12.21
桃園縣,桃園市,中華路-中華路1至50號,16,臨街地,住宅大樓,鋼筋混凝土造,０８６１２,101年01月,17,1,商業區,0.75,7.83,155,19.80
桃園縣,桃園市,中華路-中華路1至50號,16,臨街地,辦公商業大樓,鋼筋混凝土造,０８６１２,101年04月,17,17,商業區,1.00,12.39,160,12.91
桃園縣,桃園市,中華路-民族路與中正路間,16,臨街地,住宅大樓,鋼筋混凝土造,０８６１２,099年01月,17,13,商業區,0.95,11.92,120,10.07
桃園縣,桃園市,中華路-民權路與中正路之間,15,臨街地,住宅大樓,鋼筋混凝土造,０８６１２,094年04月,17,15,商業區,1.07,13.66,170,12.45
桃園縣,桃園市,中華路-民權路與中正路之間,20,臨街地,住宅大樓,鋼筋混凝土造,０８６１２,096年01月,17,15,商業區,0.95,10.60,150,14.15
桃園縣,桃園市,中華路-南華街與民族路之間,16,臨街地,透天住宅,鋼筋混凝土造,０６５１１,089年01月,5,全,商業區,30.86,113.55,2600,22.90
桃園縣,桃園市,中路北街-大湳公園旁,6,臨街地,透天住宅,磚造,０６８０３,094年12月,1,全,住宅區,17.54,15.57,210,13.49
桃園縣,桃園市,中路北街-中路街至永福西街之間,8,臨街地,透天住宅,加強磚造,０６２１２,091年03月,1,全,住宅區,19.96,19.47,308,15.82
桃園縣,桃園市,中路北街-中路街與國際路一段之間,7,裡地,透天住宅,加強磚造,０６２１２,089年07月,1,全,住宅區,15.43,14.29,275,19.24
桃園縣,桃園市,中路北街-永福西街與中路街之間,7,裡地,透天住宅,鋼筋混凝土造,０９５１１,098年07月,3,全,住宅區,23.70,53.52,685,12.80
桃園縣,桃園市,中路北街-永福西街與中路街間,6,裡地,透天住宅,鋼筋混凝土造,０９５１１,096年12月,3,全,住宅區,21.79,51.75,620,11.98
桃園縣,桃園市,中路北街-永福西街與中路街間,8,裡地,透天住宅,鋼筋混凝土造,０９５１１,097年07月,3,全,住宅區,22.33,42.72,600,14.04
桃園縣,桃園市,中路北街-國際路一段與福國北街之間,8,裡地,透天住宅,鋼筋混凝土造,０７４０９,092年12月,2,全,住宅區,30.86,30.55,500,16.37
桃園縣,桃園市,中寧街-中正路與中埔六街之間,8,裡地,公寓,鋼筋混凝土造,０７１０８,094年01月,5,3,住宅區,7.38,31.26,280,8.96
桃園縣,桃園市,中寧街-中正路與中埔六街之間,8,裡地,公寓,鋼筋混凝土造,０７０１２,099年04月,5,4,住宅區,8.53,29.64,260,8.77
桃園縣,桃園市,中寧街-中正路與中埔六街間,8,裡地,公寓,鋼筋混凝土造,０７１０８,093年12月,5,3,住宅區,7.44,28.03,200,7.14
桃園縣,桃園市,中寧街-中正路與中埔六街間,8,裡地,公寓,鋼筋混凝土造,０７１０８,095年01月,5,1,住宅區,7.62,25.02,225,8.99
桃園縣,桃園市,中寧街-中埔六街與中正路之間,5,裡地,公寓,鋼筋混凝土造,０７０１２,094年07月,5,4,住宅區,8.71,31.08,280,9.01
桃園縣,桃園市,中寧街-中埔六街與中正路之間,6,裡地,透天住宅,鋼筋混凝土造,０７０１２,094年12月,5,全,住宅區,36.91,133.86,1050,7.84
桃園縣,桃園市,中寧街-中埔六街與中正路之間,8,裡地,透天住宅,加強磚造,０７６０５,099年12月,2,全,住宅區,43.86,56.27,1650,29.32
桃園縣,桃園市,中寧街-中寧街11巷,8,裡地,透天住宅,鋼筋混凝土造,０７５１２,100年12月,2,全,住宅區,44.18,51.96,1500,28.87
桃園縣,桃園市,中寧街-中寧街50巷,7,裡地,透天住宅,加強磚造,０７６０５,100年07月,2,全,住宅區,25.11,44.57,1230,27.60
桃園縣,桃園市,中寧街-新埔六街與中正路間,7,裡地,透天住宅,加強磚造,０７６０５,097年07月,2,全,住宅區,27.53,45.28,800,17.67
