縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
宜蘭縣,五結鄉,台興路-宜蘭地方法院民事執行處,5,裡地,透天住宅,鋼筋混凝土造,０９４１１,098年04月,3,全,住宅區,29.54,63.25,578,9.14
宜蘭縣,五結鄉,台興路-宜蘭地方法院民事執行處附近,5,裡地,透天住宅,鋼筋混凝土造,０９４１１,098年04月,3,全,住宅區,30.17,64.56,580,8.98
宜蘭縣,五結鄉,台興路-宜蘭地方法院附近,8,裡地,透天住宅,鋼筋混凝土造,０９５０６,095年12月,3,全,住宅區,34.31,68.13,680,9.98
宜蘭縣,五結鄉,台興路-金身土地公附近,6,裡地,透天住宅,鋼筋混凝土造,０９４１１,096年04月,3,全,住宅區,29.89,64.85,580,8.94
宜蘭縣,五結鄉,台興路-櫻花別墅,5,裡地,透天住宅,鋼筋混凝土造,０９４１１,097年01月,3,全,住宅區,32.19,69.06,650,9.41
宜蘭縣,五結鄉,成功路2巷-成功路2巷內,8,裡地,透天住宅,鋼筋混凝土造,１００１０,101年04月,2,全,丁種建築用地,33.35,53.99,530,9.82
宜蘭縣,五結鄉,成功路2巷-成功路2巷內,8,裡地,透天住宅,鋼筋混凝土造,１００１０,101年04月,2,全,丁種建築用地,33.35,53.99,535,9.91
宜蘭縣,五結鄉,成功路-成功路2巷內,8,裡地,其他,鋼筋混凝土造,１００１０,101年01月,2,全,丁種建築用地,33.35,53.99,540,10.00
宜蘭縣,五結鄉,成功路-成功路2巷內,8,裡地,其他,鋼筋混凝土造,１００１０,101年01月,2,全,丁種建築用地,34.55,54.59,530,9.71
宜蘭縣,五結鄉,成功路-成功路2巷內,8,裡地,其他,鋼筋混凝土造,１００１０,101年01月,2,全,丁種建築用地,34.58,54.66,540,9.88
宜蘭縣,五結鄉,成鳳路341巷-利成路2段與成鳳路間,6,裡地,透天住宅,鋼筋混凝土加強磚造,０７２０２,100年07月,2,全,乙種建築用地,23.58,36.42,168,4.61
